# source: World Bank Open Data — GDP per capita, PPP (current international USD)
# indicator: NY.GDP.PCAP.PP.CD
# url: https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD
# retrieved: 2026-05-13 (fetched via wbgapi)
# notes: Chart 01b 'GDP per capita as % of US' is derived in script as (country / US) * 100.
year,CN,EU,JP,KR,US
1990,990.776190880307,14966.7558064486,19911.8140092776,8567.46338825817,23888.6000088133
1991,1104.99241812151,15560.2558405006,21226.9362202639,9723.69531281792,24342.2589048189
1992,1276.04934407809,15972.712691371,21825.0271496197,10467.6254837923,25418.9907763319
1993,1471.23957676652,16205.2214619048,22167.7733252378,11349.4009046164,26387.2937338171
1994,1679.99494201668,16957.3470748618,22822.5811580463,12551.1693533946,27694.853416234
1995,1883.87603000345,17767.7537454342,23858.1167422807,13921.1359823272,28690.8757013347
1996,2087.74769649351,18358.264815244,24999.4894445723,15163.5567633709,29967.7127181748
1997,2297.36310194242,19075.908230625,25619.0091028825,16241.0643796053,31459.1299691554
1998,2483.25405950859,19970.412101253,25508.4207628332,15500.1476038649,32853.6725949234
1999,2689.85156589718,20769.054575129,25735.9710911517,17421.392913922,34515.3813073394
2000,2963.53238602023,22111.5491828252,27287.9793301608,19236.9088359303,36329.9702595751
2001,3258.40210660305,23208.6934429094,27942.7419601305,20442.2142872054,37133.6203973517
2002,3590.7659594167,24225.4313179998,28623.5884479367,22173.4881729168,37997.7424300242
2003,4007.11604605423,24749.1124254968,29391.7042370729,22919.7417096314,39490.3023903176
2004,4504.92937237596,25910.573818836,30831.5079104998,24658.1761189212,41724.6411982614
2005,5148.18273933805,26886.7839559325,32169.867493646,26179.3421262581,44123.3996470026
2006,5946.28682830185,29209.4680724829,33631.8076359161,27972.3847629351,46301.9876485519
2007,6935.26580584434,31125.3615011354,35015.3282881632,30255.391009159,48050.227412195
2008,7712.84608425069,32581.0940879605,35273.791152156,31211.0593469455,48570.0594269601
2009,8447.98281469227,31953.2833870017,33543.4198739871,30739.9572294348,47194.9500893872
2010,9411.13821903204,32998.0893622106,35336.0080490032,33120.351934563,48642.6312088213
2011,10456.7916826113,34669.9014097446,36214.4397740241,33944.2511879769,50024.8812320773
2012,11420.2527051141,35114.5801591309,37605.9742614539,35061.5531929083,51708.3940614082
2013,12228.3736084197,36292.0767441292,39402.0250988025,35844.2253782408,53297.3862901595
2014,12941.5964809146,37366.0319968513,39555.4120089198,37032.1724172561,55153.3940182967
2015,13463.3331511105,38548.9260082937,40898.80697396,39794.1961180043,56849.4697923159
2016,14157.2514988004,40899.5656413234,40596.9686628995,41672.6278317077,57976.628204291
2017,15022.4371883124,43027.5144476906,41444.2157443912,43155.9100867658,60047.7190728307
2018,16298.2050619109,45021.8469693059,42141.9352987758,45511.0803506331,62875.6661382728
2019,17600.8907568493,48583.5788891978,42678.1511448354,46511.2196957018,65227.9565911035
2020,18267.4783455827,47566.4877983154,42425.6946789651,47881.4921344193,64401.5074354209
2021,20843.2978347377,51969.9654059153,44355.3487163354,51718.2518656631,71307.4017277218
2022,23032.1766271143,58483.7060713344,47192.0500603372,55509.3368761174,77860.9112908848
2023,25179.1193066383,61368.1097230199,50661.7663463109,57429.8031076402,82304.6204272866
2024,27104.8702677463,63585.4051981695,52039.1716551611,61051.3492502498,85809.9003846359
