# source: World Bank Open Data — Manufacturing, value added (current USD), trillions
# indicator: NV.IND.MANF.CD
# url: https://data.worldbank.org/indicator/NV.IND.MANF.CD
# retrieved: 2026-05-13 (fetched via wbgapi)
# notes: Includes WORLD column. Chart 01d 'share of global manufacturing VA' is derived in script as country / WORLD * 100.
# notes: China NV.IND.MANF.CD series begins 2004 in WB data.
# notes: EU27 series uses WB 'EUU' aggregate; apparent dip post-2020 reflects UK exit from the aggregate, not relative decline.
year,CN,EU,JP,KR,US,WORLD
1978,,,,0.0111088842975207,,
1979,,,,0.0146628099173554,,
1980,,,,0.0145718248529672,,
1981,,,,0.0161711341511065,,
1982,,,,0.0174320550218429,,
1983,,,,0.020584382846859,,
1984,,,,0.024544657544308398,,
1985,,,,0.025240914001977,,
1986,,,,0.030646288825897,,
1987,,,,0.0408012716281643,,
1988,,,,0.056960363149025,,
1989,,,,0.06800105085100171,,
1990,,,,0.0737126856656497,,
1991,,1.32524953969716,,0.0869113154600927,,
1992,,1.40216241873909,,0.0909532149329764,,
1993,,1.22101965222877,,0.101502384290048,,
1994,,1.28391510093264,1.17317856367127,0.123316843525724,,
1995,,1.48946189113701,1.3016417250339098,0.154257381916371,,
1996,,1.4822300573065301,1.1501611982448798,0.159196438127608,,
1997,,1.36530317382862,1.0490086444517701,0.148090191710365,1.3798864,6.12536909794374
1998,,1.4075568796270401,0.935928491818131,0.10239313698578,1.429598421,5.96319914334736
1999,,1.37371060115554,1.03854642567432,0.13300225341719998,1.488889708,6.09924246251178
2000,,1.26986430670653,1.1155063540743602,0.158878118762199,1.549438477,6.250528734614321
2001,,1.26667086710924,0.923926736767962,0.142672324113517,1.472931546,5.84555865982151
2002,,1.3462371463973999,0.86646409544773,0.16105258118072102,1.470280193,5.91243862100771
2003,,1.6136949045263702,0.945362643239443,0.177987640630667,1.525598451,6.56503299230308
2004,0.625223497459948,1.83457105665949,1.03345502943813,0.21745710715405803,1.609515155,7.33805854182411
2005,0.733654641625409,1.88193136798035,1.0350631746844001,0.253544639980971,1.692920894,7.85106540691887
2006,0.893126575136096,2.00363611007203,0.984723037885869,0.281704101580399,1.794744585,8.49079089804979
2007,1.14971518923614,2.32781133734173,1.00184368192877,0.316511045971875,1.848323547,9.55061043897419
2008,1.47567394265509,2.4822026291431203,1.0863965092710401,0.284677228288057,1.804393692,10.326941471464801
2009,1.6119424742981499,2.04150064652712,1.00752590838313,0.258587784765022,1.693758354,9.448213713378712
2010,1.9243330723195802,2.10660837316217,1.19594041344898,0.335173373916953,1.791742513,10.6891748232041
2011,2.42138736115563,2.33429345775778,1.21767985077428,0.37906729566779795,1.863738024,11.9469571650426
2012,2.6900767117324103,2.13576306181414,1.23356734192823,0.38378934026572603,1.927324612,12.1935856533815
2013,2.93535996725502,2.21024925715523,1.00749256406757,0.41412424399476705,1.987179289,12.4308397990806
2014,3.1842174913899903,2.30191481549494,0.959497947967376,0.44004711067208696,2.045615226,12.8753164426954
2015,3.202510065357,2.07488174262518,0.90954261788521,0.42823336965964504,2.123243202,12.4042135046912
2016,3.1531285089212404,2.13461170026345,1.01514804690799,0.434471588841004,2.098271549,12.466747340290699
2017,3.4603482376414,2.25856563240439,1.00766326549027,0.479406469031675,2.192925367,13.3298584654345
2018,3.8684828466085897,2.42690165000691,1.03951453567066,0.506543983061424,2.330106524,14.2785904015226
2019,3.82342217244696,2.35069082030717,1.03507243204115,0.461753839487024,2.364316202,14.143347312957099
2020,3.86069789903064,2.2536728671556,1.0134200266318198,0.448230305410866,2.23853137,13.734089074558199
2021,4.90902029040274,2.57387751253804,1.04711501086872,0.5098201261469341,2.497131582,16.2135593964414
2022,4.83997905337829,2.53238449046148,0.844945788777267,0.47679057582019396,,16.218123949265802
2023,4.6587887235428305,2.7704283069395297,0.867114001854524,0.469596698993806,,16.4415210797893
2024,4.66144153507104,2.78912643660961,,0.499190318144311,,16.6412070873393
