# source: World Bank Open Data — Trade (% of GDP) — sum of exports and imports of goods+services
# indicator: NE.TRD.GNFS.ZS
# url: https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS
# retrieved: 2026-05-13 (fetched via wbgapi)
year,CN,EU,JP,KR,US
1978,15.3969242292662,46.5284855927728,19.3082416556354,53.2506492693764,16.9728342289651
1979,16.5186070559018,49.5287684476018,22.6524277208331,53.5162627531667,18.3761632042836
1980,21.5410562047131,51.9448699310034,26.6493645048206,64.2288872286844,20.1098446894226
1981,23.7438255910369,54.514579501985,27.046831592781,65.7321937547191,19.4259131704272
1982,19.6554747616457,54.4371170495469,26.7229126893106,58.9510039500798,17.5368122809184
1983,17.886713506127,54.3186352500818,24.5171928157615,56.6061835206801,16.6655934803103
1984,18.9963398130909,57.19626083524,25.803500930353,55.9989452185313,17.5224074224053
1985,20.6743372843961,57.6806848992495,24.1112612306927,51.3271375876469,16.603906126303
1986,19.8450541369327,50.9321270097147,17.7990915149376,58.4215727531928,16.8979771514343
1987,24.8138336744697,50.352821614298,16.7887846160853,61.1109336570096,17.9735809845702
1988,30.0133389183239,51.5819485406612,16.8885147524671,56.9328870268389,19.0701007058615
1989,25.061554891412,54.3753328918639,18.5415137410981,51.3278198378053,19.4151106604887
1990,24.2259824799678,53.6414947413452,19.3357137329228,49.1903734944072,19.8150673537315
1991,25.8729814947102,53.8442174631687,17.7594512543168,48.2898598963294,19.7864481240974
1992,30.0340940533808,53.4022981479324,17.018068824019,47.2068242485094,19.9505945023923
1993,35.9086416582146,51.8296119547861,15.7233391305175,45.4216180794097,20.0446187019752
1994,35.605463524878,54.4550739295425,15.8103062322757,47.7418242135125,21.0554591617453
1995,34.1049521589323,57.0668618668377,16.3901049340172,51.3967337856387,22.4533816490568
1996,33.6287512313005,57.8181238406321,18.2538682255522,51.6134521171463,22.6870719902412
1997,34.3135763220021,61.9223662101429,19.7835176233669,55.894947743273,23.4283210916839
1998,32.1717399357488,63.2476873258016,19.0031862223377,66.3289851108207,22.8258909523693
1999,33.2255380760054,64.0297642840496,18.1256307166911,57.8948578896383,23.3135637046602
2000,39.0109424774998,71.5705362040384,19.5623715839054,64.0588155729056,25.1029953595813
2001,38.0826469518334,70.7299712766562,19.5596044720071,60.4277386641693,22.967181335596
2002,42.1944423387413,68.4361613375131,20.4471220661583,56.6688767960273,22.2863741094897
2003,51.0774801301803,67.3582061795863,21.3261252678119,59.4242945541732,22.6273130062789
2004,58.6403340408439,70.3968764065819,23.6643534228975,67.9270638751076,24.4480622643257
2005,61.3600749408237,73.5521063042338,26.2299545778565,66.1695148242697,25.6385530316517
2006,63.5695798621627,77.9839957210495,30.0163760986692,68.3749509402263,26.9752780973197
2007,61.2664640006176,79.7970825624113,32.816578051879,71.3239614988013,28.0120176822667
2008,56.7111330003209,80.7845229076774,34.1294765412245,92.0833544961819,29.8677957945319
2009,44.4197644331119,70.5061117229528,24.3901665338555,83.1246099057162,24.7595311689876
2010,49.8540722338977,78.282201525606,28.4984726938389,88.0278677123124,28.2198952346731
2011,49.9458272253643,83.4716468978193,30.1949607286296,101.68061646213,30.8424862411943
2012,47.4802130784317,85.0872994138992,30.4709109171752,101.51727207905,30.6818353657295
2013,45.9160413795571,84.7802544688451,33.9787686509511,94.1675235855873,30.0079539684645
2014,44.0684564812532,85.494561926335,37.4314345686579,86.9342577972039,30.0044781614855
2015,38.6971848362625,86.6784748227273,35.4274083544798,75.3881774564907,27.8235649187872
2016,36.177170692978,85.784351990334,31.3102468455884,69.8997221316919,26.6079620604584
2017,36.95085261586,88.7153567222581,34.4232135721686,73.1921408264016,27.3130208877206
2018,36.8943843914718,90.4287944304584,36.609931802107,74.7075162140824,27.6103792720958
2019,35.1994202738836,90.5535185606555,35.2164181084145,71.4470632403511,26.4537594940475
2020,34.0389507864581,83.8178454761989,31.335208636773,65.544957860621,23.4015629969394
2021,36.5206911762676,91.2031115580478,36.7384462280698,75.3063047610912,25.6095576621932
2022,37.440719876366,103.706433693426,46.8129868368938,90.5851475278549,27.3139397355363
2023,36.1051923691138,95.2160371763138,45.1508795641248,82.2580090716629,25.2903297883366
2024,37.1984201388065,91.6513434875625,46.4069516150859,84.6424951192038,25.3786342507088
