# source: World Bank Open Data — Foreign direct investment, net inflows (BoP, current USD), billions
# indicator: BX.KLT.DINV.CD.WD
# url: https://data.worldbank.org/indicator/BX.KLT.DINV.CD.WD
# retrieved: 2026-05-13 (fetched via wbgapi)
# notes: Values divided by 1e9 (billion USD).
year,CN,EU,JP,KR,US
1982,0.43,8.777233645865289,0.439,0.1209,21.23
1983,0.636,9.639295532577009,0.416,0.1843,11.5
1984,1.258,9.617570868505911,-0.01,0.2233,25.23
1985,1.659,10.4796967024972,0.6087131502163,0.3553,9.63
1986,1.875,14.4826962475257,0.24210776169,0.6825,30.946
1987,2.314,23.8501255977168,1.1774222541794,0.8386,63.235
1988,3.194,36.1430753401259,-0.4838004869218,1.2931,56.91
1989,3.393,48.4645492396589,-1.0596967324809001,1.3896,75.78
1990,3.487,64.5068412235224,1.80603901,1.0456,71.23
1991,4.366,64.7733159421517,1.28426882,1.4552,34.55
1992,11.156,63.6528437420953,2.75560398,1.0016,30.31
1993,27.515,69.6071409479919,0.21043544,0.8323,50.23
1994,33.787,72.27652804688,0.88838447,1.1366,55.94
1995,35.8492,110.52597978838699,0.04146307,2.4871,69.08
1996,40.18,109.979022503617,-0.038203596335365804,2.7826,97.66
1997,45.439,116.730524556625,2.48693504042281,3.3011,122.15
1998,45.644,220.14331149252803,2.5120219244741,5.9892,211.15
1999,41.014,452.758331551388,14.780510030706,10.7263,312.449
2000,42.0953,634.200506229248,10.6881683256084,11.5094,349.125
2001,47.053,366.360079035895,4.9260336191846,6.5223,172.496
2002,53.073618897403605,295.29846543440505,11.557373873941799,5.4751,111.055
2003,57.9009374673864,293.768597752735,8.77153561231507,7.01,117.106
2004,68.1172721812194,314.210792152141,7.52794817522323,13.2944,213.641
2005,104.10869386708501,732.5538873516591,5.45961834294078,13.6432,142.344
2006,124.082035618505,914.38836961278,-2.39690973630511,9.1619,298.463
2007,156.24933520320099,1479.57564757499,21.6312044356846,8.8269,346.613
2008,171.534650311568,825.460956900288,24.6248453295647,11.1875,341.092
2009,131.0570528695,585.5179090000861,12.2264715787438,9.0219,161.083
2010,243.703434558177,480.12855962450595,7.44097928416285,9.4974,264.039
2011,280.072219149934,903.651733603218,-0.850717035068238,9.773,263.497
2012,241.21386816142,582.411385398083,0.546962692190725,9.4959,250.345
2013,290.928431467003,613.498236804181,10.6484416362071,12.7666,288.131
2014,268.097181064335,468.473023861312,19.752249424087,9.2736,251.856
2015,242.489331627398,849.890812406505,5.25221841239171,4.1041,511.434
2016,174.74958458404998,729.12607454851,40.9541814685533,12.1043,474.388
2017,166.083755721648,591.455183723147,18.8022512081068,17.9129,380.823
2018,235.36505003634102,133.983702758315,25.2893678578518,12.1826,214.715
2019,187.169822364755,582.1783631885501,39.960544340014096,9.6343,315.984
2020,253.09561605858,178.618904096684,62.5847193980912,8.7649,137.066
2021,344.07497706248,684.481966450194,35.0271638757213,22.0604,477.956
2022,190.20378909251002,238.778768818174,48.153832744058604,25.0447,416.89
2023,51.33807680159,-257.26565019972196,19.9821408445082,18.5991,361.944
2024,18.55614117284,298.211533521557,16.1603183659944,12.8625,297.058
