# source: World Bank Open Data — GERD — Gross domestic expenditure on R&D (% of GDP)
# indicator: GB.XPD.RSDV.GD.ZS
# url: https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS
# retrieved: 2026-05-13 (fetched via wbgapi)
# notes: Source-of-source: UNESCO Institute of Statistics, via World Bank.
year,CN,EU,JP,KR,US
1996,0.56014,1.69748331032081,2.64303,2.14233,2.45013
1997,0.63467,1.73035360972112,2.72177,2.17409,2.47714
1998,0.64185,1.69845601557958,2.82745,2.03608,2.49621
1999,0.74295,1.78154721948654,2.84672,1.9446,2.54362
2000,0.88409,1.75860211515992,2.85841,2.0494,2.61982
2001,0.92948,1.81802198773193,2.92348,2.19872,2.63715
2002,1.04418,1.78495768827769,2.96514,2.13042,2.54746
2003,1.10465,1.82091090000279,2.99319,2.19657,2.55014
2004,1.19732,1.78889020457473,2.98125,2.35292,2.48685
2005,1.29008,1.77525526376904,3.13092,2.42725,2.50192
2006,1.34923,1.79465268206155,3.22766,2.61516,2.54545
2007,1.35321,1.78898931656075,3.29257,2.75895,2.61516
2008,1.4233,1.86582513049658,3.29224,2.86774,2.74481
2009,1.6366,1.95713534897045,3.1959,3.02145,2.7918
2010,1.68456,1.9574650267788,3.10495,3.17913,2.71443
2011,1.75244,2.00154571508802,3.20537,3.44409,2.73803
2012,1.88095,2.06377099046186,3.1737,3.6852,2.67272
2013,1.96246,2.08261420682816,3.27895,3.77487,2.69591
2014,1.98475,2.10271013568163,3.36788,3.88983,2.70882
2015,2.01703,2.10239121278974,3.24071,3.78907,2.77328
2016,2.0595,2.10185696987384,3.10665,3.78638,2.83677
2017,2.07771,2.13740058977726,3.16636,4.07341,2.88315
2018,2.10232,2.16898047935888,3.2192,4.27155,2.98956
2019,2.20144,2.20604558224256,3.21824,4.36379,3.14297
2020,2.35712,2.27883499313168,3.26556,4.5214,3.41788
2021,2.38165,2.23759658093082,3.27383,4.59673,3.4689
2022,2.4945,2.22733451480275,3.40053,4.84753,3.48736
2023,2.57729,2.26283132761121,3.44125,4.94352,3.44716
2024,,,,,
