# source: World Bank Open Data — GDP, PPP (current international USD)
# indicator: NY.GDP.MKTP.PP.CD
# url: https://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD
# retrieved: 2026-05-13 (fetched via wbgapi)
# notes: Chart 02b 'R&D spending absolute' is derived in script as (GERD%GDP / 100) * GDP_PPP.
year,CN,EU,JP,KR,US
1996,2541937207865.67,7837237500959.23,3143860794081.08,690316084477.852,8073121999999.99
1997,2825928917621.83,8155859754695.27,3229455430482.06,746335051253.342,8577552000000.0
1998,3084040130395.79,8549734925681.7,3224264384422.11,717447628566.737,9062816999999.99
1999,3369671201404.2,8906309538012.48,3258971755243.63,812127446358.389,9631171999999.99
2000,3741889349546.51,9493353996675.94,3461289162175.59,904290745856.293,10250952000000.0
2001,4144198719283.08,9977633314416.62,3552891697488.63,968351043308.064,10581929000000.0
2002,4597616734437.15,10439322478526.1,3647933229747.3,1056449990197.74,10929108000000.0
2003,5162768313736.27,10704310783563.4,3753849681750.47,1097679833472.43,11456450000000.0
2004,5838726336302.17,11250196203944.2,3939064282153.37,1185627221743.38,12217196000000.0
2005,6711788800929.8,11716968430634.9,4110440479265.64,1261440107622.55,13039197000000.0
2006,7795700957640.29,12772243092980.9,4299961133482.41,1354934541083.4,13815583000000.0
2007,9139882776535.16,13657684218628.3,4481997036213.17,1472942503438.35,14474228000000.0
2008,10216860129733.1,14344501719913.0,4517267516318.56,1531049402635.08,14769862000000.0
2009,11246461601887.2,14103814156853.3,4295134284604.43,1515720738976.03,14478067000000.0
2010,12589326651290.3,14588069559368.7,4525482550835.84,1641249629244.75,15048971000000.0
2011,14064750800821.1,15303782565133.3,4629400479632.82,1695061783755.07,15599732000000.0
2012,15465192010738.5,15523096797499.6,4799612889015.1,1760084816235.68,16253970000000.0
2013,16670208037942.1,16056548945950.2,5021591088716.88,1807584606267.19,16880683000000.0
2014,17754058548307.5,16550193494825.6,5034454618847.27,1879259025687.7,17608138000000.0
2015,18577514881891.3,17107751923664.6,5199915217476.25,2030098805867.59,18295019000000.0
2016,19647292057520.3,18187081917637.9,5158900389806.62,2134380442776.72,18804913000000.0
2017,20974552138879.6,19161058343010.9,5262254961496.84,2216570013000.47,19612102000000.0
2018,22862470132646.1,20094596005407.2,5344060957173.06,2347691719530.07,20656516000000.0
2019,24777565958500.9,21712509249732.6,5404462313923.94,2407645008550.9,21539981999999.9
2020,25777238693451.8,21256082018695.0,5356710635860.81,2481996469956.38,21354104999999.9
2021,29438240129870.1,23190420358433.0,5574650884739.54,2677430056971.27,23681171000000.0
2022,32525464028395.1,26154069682047.1,5904904744687.14,2868310039875.42,26006893000000.0
2023,35520435397067.7,27547993795954.3,6308233428525.37,2969845527350.41,27720709000000.0
2024,38190084585497.8,28627941765617.6,6451575612481.29,3159472343387.38,29184890000000.1
