# source: World Bank Open Data — Patent applications by residents (thousands)
# indicator: IP.PAT.RESD
# url: https://data.worldbank.org/indicator/IP.PAT.RESD
# retrieved: 2026-05-13 (fetched via wbgapi)
# notes: Values divided by 1000 (thousands of applications).
# notes: Resident counts include domestic utility models. PCT international filings (not in this CSV) are the stricter quality measure.
# notes: WB does not publish IP.PAT.RESD for the EUU aggregate; EU column may be NaN.
year,CN,EU,JP,KR,US
1996,11.628,,340.101,68.405,106.892
1997,12.672,,350.807,67.359,119.214
1998,13.751,,359.381,50.596,134.733
1999,15.626,,360.18,55.97,149.251
2000,25.346,,387.364,72.831,164.795
2001,30.038,,386.767,73.714,177.513
2002,39.806,,369.458,76.57,184.245
2003,56.769,,358.184,90.313,188.941
2004,65.786,,368.416,105.25,189.536
2005,93.485,,367.96,122.188,207.867
2006,122.318,,347.06,125.476,221.784
2007,153.06,,333.498,128.701,241.347
2008,194.579,,330.11,127.114,231.588
2009,229.096,,295.315,127.316,224.912
2010,293.066,,290.081,131.805,241.977
2011,415.829,,287.58,138.034,247.75
2012,535.313,,287.013,148.136,268.782
2013,704.936,,271.731,159.978,287.831
2014,801.135,,265.959,164.073,285.096
2015,968.252,,258.839,167.275,288.335
2016,1204.981,,260.244,163.424,295.327
2017,1245.709,,260.292,159.084,293.904
2018,1393.815,,253.63,162.561,285.095
2019,1243.568,,245.372,171.603,285.113
2020,1344.817,,227.348,180.477,269.586
2021,1426.644,,222.452,186.245,262.244
2022,,,,,
2023,,,,,
2024,,,,,
