# source: World Bank Open Data — High-technology exports, current USD (billions)
# indicator: TX.VAL.TECH.CD
# url: https://data.worldbank.org/indicator/TX.VAL.TECH.CD
# retrieved: 2026-05-13 (fetched via wbgapi)
# notes: Values divided by 1e9 (USD billion).
# notes: Goods only — services excluded. US figure understates because US high-tech 'value' increasingly travels in software/services.
year,CN,EU,JP,KR,US
2000,,,,,
2001,,,,,
2002,,,,,
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,343.558973511,564.110827957,128.611660344,107.199622808,240.663518341
2008,391.875971833,605.811955436,130.519449472,111.219694589,243.132032706
2009,359.685956947,523.542391457,103.919965322,103.76636447,150.978138467
2010,474.737980237,569.684552489,130.091252319,132.322493748,166.133836217
2011,540.460754934,639.685390959,133.397946551,133.617297921,166.559643396
2012,594.110243099,619.609052619,129.463812214,130.675945808,169.157788627
2013,656.130321776,642.484835181,111.257955701,143.485221079,169.309014696
2014,654.030643704,667.01159835,107.543978073,149.062381047,176.029439
2015,652.412308349,608.237808994,98.394425742,147.046540245,175.321672223
2016,594.754428555,632.106527601,99.260695081,135.906055229,173.98344724
2017,654.254700212,632.012777383,106.357714667,166.656272251,154.602417969
2018,731.389331452,682.242772374,110.919852153,192.788494176,153.893519793
2019,715.3360383,692.518079436,104.081423307,153.549664196,154.028528002
2020,757.483821706,643.732901191,102.929600738,163.074029188,141.612133157
2021,936.394581135,759.305349396,116.695460286,203.986068635,169.281833346
2022,924.393316669,900.313929829,113.492876284,209.651189631,191.876058536
2023,825.04538947,930.406318083,102.601446852,164.678173896,208.51437677
2024,856.764726389,966.68526844,102.451366263,216.203069107,232.906639404
