# source: World Bank Open Data — High-technology exports (% of manufactured exports)
# indicator: TX.VAL.TECH.MF.ZS
# url: https://data.worldbank.org/indicator/TX.VAL.TECH.MF.ZS
# retrieved: 2026-05-13 (fetched via wbgapi)
year,CN,EU,JP,KR,US
2000,,,,,
2001,,,,,
2002,,,,,
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,30.2374939097036,15.5892491122899,20.0653051826321,32.4282584168837,29.8991351588255
2008,29.4319344493349,15.3169598400112,18.8248542197178,30.4501393108657,28.4192806106129
2009,31.9775769727453,16.873225420523,20.4459731275094,32.1484365401841,24.3626446890131
2010,32.1501169663397,16.6872011464509,19.1226872782363,32.1343974843399,22.6194775165319
2011,30.5004796644425,16.0022992832333,18.392253763449,28.2133210437189,20.624916162211
2012,30.8618085179503,16.4524126926669,18.2382479591573,28.2220757644767,20.174250704896
2013,31.5855813292794,16.4670948014342,17.7587589107099,29.8181999078998,20.188635370966
2014,29.7037271802947,16.6066279342816,17.7805347199635,30.0608682657817,20.4843982208576
2015,30.4312672747562,17.3691635596841,18.0454889300336,31.2119270912605,21.3904480368657
2016,30.2545232296357,17.6610263198086,17.620423854837,30.5250266717443,22.4192942002286
2017,30.9118639785891,16.1441713085737,17.5942774665502,32.546316460744,19.2659699620243
2018,31.5481478595353,15.7431126495651,17.2970528139362,36.3912233579129,18.4842699258676
2019,30.8186302968419,16.347499992868,17.0303844450023,32.4050621736765,18.6853939276571
2020,31.2766154241293,16.0640999699316,18.6333487896777,35.6022265413283,19.4939761609452
2021,30.2190732796596,16.3762738593916,18.0039913482614,36.014503674486,19.9014614131792
2022,27.7650612563156,19.1227299840999,18.2592615351902,36.118278931217,20.5789833007379
2023,26.5682136542881,19.231842256641,17.1028060703212,30.2762799912651,21.8459878355521
2024,26.2777380479223,20.6166459855189,17.5547415163067,36.2582559366674,24.322982844202
