# source: World Bank Open Data — Researchers in R&D, per million people (FTE)
# indicator: SP.POP.SCIE.RD.P6
# url: https://data.worldbank.org/indicator/SP.POP.SCIE.RD.P6
# retrieved: 2026-05-13 (fetched via wbgapi)
# notes: Source-of-source: UNESCO Institute of Statistics, via World Bank.
year,CN,EU,JP,KR,US
1996,447.0994,1960.44029809699,4906.38735,2186.08907,3206.67656
1997,476.21305,1985.27889639129,4959.03285,2241.82853,3310.87683
1998,389.62565,1971.53422435216,5164.5008,2007.82828,3472.48581
1999,422.97614,2090.02153372709,5201.03384,2161.01827,3547.1262
2000,549.57477,2117.3813117101,5102.41299,2324.08478,3556.3917
2001,582.78825,2234.08079178207,5136.2064,2906.71111,3598.59475
2002,631.73478,2264.20574096846,4891.16889,3007.81714,3645.74808
2003,667.9285,2337.73293497193,5113.02549,3189.96825,3851.4654
2004,713.42588,2526.9740529138,5117.27802,3281.04385,3710.14634
2005,856.65892,2600.79293808856,5322.47485,3763.23464,3635.29099
2006,931.20148,2689.75774496016,5352.83117,4173.2456,3674.19384
2007,1076.73747,2770.56750145769,5344.2381,4614.74679,3624.05411
2008,1197.58885,2932.41443919156,5125.12165,4892.49313,3751.46069
2009,861.24883,2986.45705049587,5114.01193,5037.92837,3877.89208
2010,898.85545,3088.082857303,5117.18164,5429.43919,3643.92768
2011,972.01743,3124.20635216897,5123.33234,5908.82443,3754.88228
2012,1028.98334,3246.03288485884,5048.63399,6393.34374,3734.6577
2013,1079.63795,3343.50553823407,5166.83422,6457.88851,3815.20951
2014,1101.80087,3404.38247840898,5351.53211,6867.33385,3915.0339
2015,1162.7108,3545.25312124006,5198.48902,7020.43916,3949.66371
2016,1208.86205,3644.99639484681,5232.70894,7057.16003,3897.11007
2017,1235.84935,3847.42851006671,5319.83455,7453.21918,4020.59227
2018,1317.48914,4010.1492292815,5339.51713,7918.46916,4322.78826
2019,1483.85803,4156.305722486,5376.11987,8328.96727,4367.20971
2020,1600.30633,4225.10475817582,5450.44287,8620.009,4567.79267
2021,1685.97511,4403.78294821578,5589.76698,9071.4503,4900.77179
2022,1849.23669,4624.03857732989,5629.79566,9434.7613,4937.49441
2023,2107.27003,4741.41445146904,5608.63075,9471.82543,
2024,,,,,
