# source: ISO and IEC annual reports (technical-committee secretariats by country); cross-checked with CSIS "Made in China 2025" analyses
# url: https://www.iso.org/the-iso-survey.html  (ISO survey of certifications and committees)
# url: https://www.iec.ch/about-iec/news-and-resources  (IEC annual reports)
# retrieved: 2026-05-13
# notes: Number of ISO and IEC technical-committee (TC) and subcommittee (SC) secretariats held by country, snapshot years.
# notes: Holding a TC secretariat means the country chairs and drives the standards-development process for that domain. Germany and the US have historically led; China has risen fastest since 2010.
country,iso_2010,iso_2024,iec_2024
Germany,131,135,30
United States,114,98,21
France,85,82,16
United Kingdom,78,79,18
Japan,75,75,13
China,49,76,18
Russia,15,16,4
South Korea,16,30,9
Italy,26,38,4
Netherlands,18,26,3
Sweden,24,30,4
