# source: National Bureau of Statistics of China (NBS); IMF Article IV China consultations; BIS quarterly review
# url: https://www.stats.gov.cn/english/
# url: https://www.imf.org/en/Countries/CHN  (IMF China page — Article IV reports)
# url: https://www.bis.org/publ/quarterly/  (BIS quarterly review)
# retrieved: 2026-05-13
# notes: China property sector indicators. residential_floor_area_started_mn_m2 = annual new-build floor area started, million square metres.
# notes: property_investment_yoy_pct = year-on-year change in real-estate investment by developers, % (NBS data).
# notes: The 2021-2024 collapse follows Evergrande default (Sept 2021) and the "three red lines" deleveraging policy.
year,floor_started_mn_m2,property_investment_yoy_pct
2015,1545,1.0
2016,1669,6.9
2017,1787,7.0
2018,2092,9.5
2019,2272,9.9
2020,2243,7.0
2021,1989,4.4
2022,1206,-10.0
2023,955,-9.6
2024,740,-10.6
