year,CY,ES,EU,GR,IT,PT
2000,21295.78515625,21582.2067955558,22111.5491828252,18819.8544320117,27152.1544907116,18883.1145969452
2001,22866.171875,22952.3641099695,23208.6934429094,20303.9312433429,28134.0572858014,19528.5826120827
2002,23556.27734375,24377.8417076394,24225.4313179998,21985.2345411071,28833.0217903129,20356.647299736
2003,24278.041015625,25057.3469945838,24749.1124254968,23252.6111362028,29249.1801358747,20849.5943833375
2004,25941.998046875,26159.7864720491,25910.573818836,24825.5735347512,29580.8439042327,21475.5711021267
2005,27763.158203125,27629.7077024966,26886.7839559325,25003.8297466933,30137.8180374437,22725.2774946084
2006,30008.724609375,30748.7396326091,29209.4680724829,28076.1241416392,32453.6488675587,24677.2834629922
2007,32887.8671875,32536.1882684038,31125.3615011354,28895.874926558,34107.5078152619,25738.0214895961
2008,34830.11328125,33349.942580613,32581.0940879605,30440.9709059081,35422.3424391113,26665.8372952939
2009,33901.34765625,32218.2880170155,31953.2833870017,29963.3968875108,34501.7122743906,26471.9079607159
2010,33502.1640625,31804.6746571689,32998.0893622106,27838.73639086,34974.1045135807,27292.0819531528
2011,33405.9765625,32015.5752000401,34669.9014097446,25692.5740851321,36392.2827759493,26803.2336904645
2012,31924.099609375,31869.7839822219,35114.5801591309,24582.9741957507,36281.1014243506,26476.2182777269
2013,30415.7890625,32613.6891811474,36292.0767441292,25730.8809006664,36459.2950248716,27966.0874254705
2014,29892.7109375,33760.9555646369,37366.0319968513,26450.181326726,36665.68576775,28764.5254955042
2015,31380.19921875,35228.6333036223,38548.9260082937,26607.7256796976,37384.3796455406,29608.0071513956
2016,35246.90234375,37612.7188681342,40899.5656413234,27504.5497984948,40482.562999856,31589.2695609552
2017,37768.1171875,39825.2498116292,43027.5144476906,28681.6815585005,42142.3435406885,32970.8395386562
2018,40262.30859375,41015.1565755187,45021.8469693059,29792.0592519585,43386.7005868803,34896.7993382974
2019,44393.9921875,44042.757577336,48583.5788891978,31927.3792151369,46661.9105159611,37865.5603564295
2020,42569.0546875,39327.8479269599,47566.4877983154,29533.087740299,44435.6434393527,35966.712796561
2021,47632.76953125,44251.6658222621,51969.9654059153,33531.15511226,49825.3934111848,38657.6677223425
2022,55876.17578125,51398.9310403407,58483.7060713344,39612.4406377916,57260.8945372493,45250.0148759865
2023,59874.5703125,55682.2402603093,61368.1097230199,42710.5058010314,60029.871712398,49352.8388613032
2024,63006.61328125,57965.2948138837,63585.4051981695,44327.2097808276,62014.2675153689,51679.8883807527
