year,CY,ES,EU,GR,IT,PT
2000,96.31068804890056,97.60603663319729,100.0,85.11323325382251,122.79625577660389,85.39932883405729
2001,98.52416695169867,98.89554604368213,100.0,87.48416317914722,121.22206428814187,84.14339506065117
2002,97.23780367224005,100.62913385375458,100.0,90.75270632961568,119.01964267149954,84.03007167352581
2003,98.09661291373627,101.245436861685,100.0,93.95331330043057,118.18274382131733,84.24380650458407
2004,100.12127955273671,100.96181834858452,100.0,95.81251927621902,114.16514397195077,82.88342532389143
2005,103.2594982301672,102.76315586044709,100.0,92.99672949979674,112.09156917703378,84.52211142788659
2006,102.73629268054027,105.26976922793156,100.0,96.11994327308075,111.106606895495,84.48385092722624
2007,105.6626031035826,104.53272411700965,100.0,92.83707411881443,109.5810816976944,82.69147810108879
2008,106.9028350834927,102.35979949162177,100.0,93.4313955931786,108.72054309618997,81.84451149277878
2009,106.096601233915,100.82935023235078,100.0,93.77251321752942,107.97548363504197,82.84565826961128
2010,101.52758753622464,96.38338240756326,100.0,84.36469180164386,105.98827141074729,82.70806728709475
2011,96.3544031109089,92.34400415987784,100.0,74.10627962706216,104.96794422876725,77.30980649091484
2012,90.914086014136,90.75940489049175,100.0,70.00788300571024,103.32204246763968,75.3995011694373
2013,83.80834548802784,89.86448863503841,100.0,70.89944475230057,100.46075699090284,77.05838280526189
2014,79.99969314381295,90.35199554365796,100.0,70.78670095062506,98.12571420706294,76.98041231118167
2015,81.40356286968573,91.38680879473256,100.0,69.02326065834626,96.97904330070686,76.80630880617923
2016,86.17916056335288,91.96361447450607,100.0,67.24900220139557,98.9804228115174,77.23619814934801
2017,87.77666493707288,92.55763509194924,100.0,66.65893191057873,97.94277936254436,76.62733941729194
2018,89.42838045093804,91.1005641405187,100.0,66.17245017129025,96.36810461476541,77.51081238868021
2019,91.37653751022997,90.65358827883423,100.0,65.71640036637095,96.04461339165779,77.93900989218525
2020,89.49379417710048,82.67973892399245,100.0,62.08801428753993,93.41796188056252,75.61355580647849
2021,91.6544183918744,85.1485381539725,100.0,64.52025674899417,95.87343963387282,74.38463239373722
2022,95.54144142831181,87.88589932663949,100.0,67.73243916771463,97.90914150927166,77.37200310252848
2023,97.56626134117398,90.734814077909,100.0,69.59723216798088,97.8193266557143,80.42098588998965
2024,99.08974093171908,91.1613201696675,100.0,69.71286829529191,97.52909071208398,81.27633726589897
