year,CY,ES,EU,GR,IT,PT
2000,14388.3525390625,14743.2671031455,16976.0452668705,11638.2010697215,20190.0035636084,11526.3720667968
2001,14821.44921875,15368.2337984435,17230.6480095869,12156.9572824221,20570.4385917862,11734.7649743954
2002,16093.2158203125,17111.0685058941,18797.8116316074,13782.195640943,22451.3964379368,12936.6928204482
2003,20252.24609375,21522.0170990262,23020.9558032659,18020.612039764,27577.5700319855,15797.7821340276
2004,23792.619140625,24925.0267844576,26368.6780464333,21449.2552764245,31348.1901841445,18064.1580932987
2005,24959.26171875,26450.9530130382,27431.4991030834,22054.1315756886,32062.723833669,18780.12751241
2006,26729.28125,28421.686527407,29200.5809467343,24416.0232970275,33537.1286994269,19839.4540499032
2007,31244.87890625,32652.015594702,33704.6636441399,28440.7625328955,37826.1754554823,22811.0564844365
2008,35397.296875,35603.248328071,37169.0746850842,31695.8331092209,40828.5795580937,24949.0413566739
2009,32236.44921875,32279.8208476151,33632.0748456258,29425.4573200263,37099.6133958219,23151.2154130712
2010,31105.02734375,30658.7422282912,33119.5673211775,26653.0488008626,35856.8625485539,22551.935098809
2011,32485.798828125,31824.6219134777,35963.3147849808,25504.7866510124,38432.3742820019,23246.5425416481
2012,28991.935546875,28456.4438151477,33324.7709896821,21624.346052551,34854.3949441965,20593.4274224109
2013,27764.73046875,29228.846559842,34804.7281200997,21573.3449762805,35701.6746002376,21676.4859642714
2014,26993.103515625,29707.765509467,35590.1004559069,21474.7257123892,36028.3494022349,22120.6850127107
2015,23088.44140625,25982.4416197775,30771.6568591261,17980.7298238137,30639.8829751432,19215.7813014347
2016,24280.056640625,26755.6061149398,31456.8971280656,17919.2426377048,31391.5692898108,19980.2808866516
2017,26247.44921875,28381.3425596906,33394.5888043692,18631.9930129293,32844.115660604,21442.3842768879
2018,29120.375,30602.4212881113,36054.953230113,19873.4015238771,34904.1081923834,23541.1401075289
2019,29227.173828125,29786.5245689007,35374.1403676934,19335.3602002969,33812.788724868,23343.3628970034
2020,28130.341796875,27233.9426461608,34694.7035869195,17886.733165236,32091.4866621366,22299.4044062173
2021,32937.83984375,30799.4775937775,39206.9791776084,20654.7001960815,36852.5425414951,24711.4510062111
2022,33231.04296875,30319.4987196616,38066.8844892624,20886.5243087629,35653.9042103495,24620.5197587181
2023,36623.69140625,33493.2225409111,41566.5741100785,23343.7103964562,39277.0838783918,27634.6183139773
2024,38674.29296875,35326.7683069278,43304.9642561331,24626.1481858973,40385.3413957669,29292.242104753
