year,CY,ES,EU,GR,IT,PT
2000,74.57029525231307,79.09479715487736,85.81969930005766,73.44507223757726,92.51435672616988,91.9454235028191
2001,77.51773283974958,82.19459249795376,87.67438627532567,76.8605725957972,94.37059558530359,93.73254107818852
2002,80.40369858517401,84.45942842366559,88.63678367683472,80.46005871745085,94.62532981668204,94.45514846545318
2003,82.51292850716021,86.94193561557849,89.46728459403373,85.12418570016985,94.688306577834,93.576223430837
2004,86.66025294912065,89.64976956957376,91.79335226487933,89.70205063521036,96.08403277028225,95.25005458620257
2005,90.86586429772389,92.83343512307442,93.61414594548731,90.76368010498328,96.81658769530954,95.99476482257346
2006,95.14908449421209,96.58709487541114,96.95386876983714,96.61194491311612,98.55878275238389,97.55471366546995
2007,100.0,100.0,100.0,100.0,100.0,100.0
2008,103.64698922103956,100.76716574829052,100.61798688694863,100.05747402382012,98.9768614882288,100.31924734443413
2009,101.55841735952396,96.97012485263124,96.279250427621,95.93583044296221,93.72598654969825,97.18720191699805
2010,103.87666190186565,97.0613953757401,98.37987207583755,90.47349252431094,95.15915598284448,98.87595058374839
2011,104.3095282805172,96.44027947663628,100.3087087076462,81.53762583757052,95.82095285078128,97.18168402009887
2012,100.71358088549931,93.67715583016997,99.54193181164456,74.74461679657936,92.82631927979385,93.2449485813336
2013,94.07909639395959,92.34008094410977,99.50904258609955,73.04633165259645,91.13871348892081,92.32731891228336
2014,92.40819643894194,93.74409888859199,101.13374878762235,73.62502299806253,91.13744883236127,93.01182573366712
2015,95.5675591079987,97.55092180676456,103.53259382212113,73.45693567744512,91.9446237202537,94.49052591338383
2016,101.84977939014361,100.39468334317192,105.52039922581129,73.43358021528309,93.08126254531484,96.38424956465094
2017,107.70698946754827,103.30215561751739,108.49408062904018,74.5153484433734,94.57400670895059,99.57911764062361
2018,114.46200952124808,105.77666706928844,110.71432533211147,76.05384603719668,95.3557996261423,102.51300068788267
2019,121.1873345840379,107.85113633077172,112.79049235458064,77.78572950528284,95.76503099192438,105.32768408038022
2020,117.28433870436028,96.05214583549532,106.49804550691712,70.63237374813691,87.27237619038412,96.68593563588942
2021,130.6518904999545,102.47144925341902,113.29022475227792,76.74525102265147,95.06672631107517,102.06047158102494
2022,141.46166989838363,108.99920552964957,117.32511539438175,80.98311289082017,99.65006116861592,109.19025423307156
2023,146.5818134286616,111.68152116404373,117.85815003585888,82.71284036631641,100.62234167362124,112.57512928281395
2024,152.35827115286529,115.54040145420336,119.11281828072207,84.43870526768063,101.31932943937554,114.98386754611887
