year,CY,EL,ES,IT,PT
2000,-1.8,-4.2,-1.2,-2.4,-3.2
2001,-1.7,-5.6,-0.5,-3.2,-4.7
2002,-3.8,-6.2,-0.3,-2.9,-3.3
2003,-5.7,-8.0,-0.4,-3.2,-5.7
2004,-3.6,-9.1,-0.1,-3.5,-6.2
2005,-2.1,-6.3,1.2,-4.1,-6.1
2006,-1.0,-6.0,2.1,-3.6,-4.2
2007,3.2,-6.8,1.9,-1.3,-2.9
2008,0.7,-10.3,-4.6,-2.6,-3.8
2009,-5.6,-15.4,-11.2,-5.1,-9.9
2010,-5.1,-11.4,-9.5,-4.2,-11.4
2011,-5.9,-10.5,-9.7,-3.5,-7.7
2012,-15.2,-9.3,-11.5,-3.0,-6.2
2013,-5.6,-13.6,-7.5,-2.9,-5.2
2014,-8.8,-3.8,-6.0,-2.8,-7.4
2015,-0.8,-5.9,-5.3,-2.5,-4.5
2016,0.5,0.2,-4.2,-2.4,-1.9
2017,2.1,0.7,-3.1,-2.5,-3.0
2018,-3.4,0.9,-2.6,-2.2,-0.4
2019,1.0,0.8,-3.1,-1.5,0.1
2020,-5.6,-9.9,-9.9,-9.4,-5.8
2021,-1.6,-7.2,-6.7,-8.9,-2.8
2022,2.7,-2.6,-4.6,-8.1,-0.3
2023,1.7,-1.4,-3.3,-7.1,1.1
2024,4.1,1.3,-3.2,-3.4,0.6
