year,CY,EL,ES,IT,PT
2000,56.5,108.9,57.8,108.7,54.2
2001,58.1,110.5,54.1,108.5,57.4
2002,61.3,107.9,51.2,105.9,60.0
2003,64.6,104.3,47.7,105.1,63.9
2004,65.5,105.5,45.3,104.7,67.1
2005,64.1,109.9,42.4,106.2,72.2
2006,60.0,105.3,39.0,106.3,73.7
2007,55.7,104.6,35.7,103.5,72.7
2008,47.1,110.9,39.6,105.8,75.5
2009,57.6,128.5,53.1,116.1,87.6
2010,60.1,147.8,60.3,118.8,99.9
2011,69.9,175.1,69.5,119.1,114.0
2012,84.4,164.1,89.6,125.9,128.6
2013,108.3,180.4,100.0,131.9,130.8
2014,113.5,182.7,104.4,134.8,132.5
2015,111.6,179.6,102.5,134.8,131.0
2016,106.9,183.1,102.0,134.2,131.2
2017,96.5,182.1,101.2,133.7,126.0
2018,100.7,189.0,99.8,134.2,121.1
2019,92.3,183.2,97.7,133.9,116.1
2020,113.6,209.4,119.3,154.4,134.1
2021,96.5,197.3,115.7,145.8,123.9
2022,80.1,177.8,109.3,138.4,111.2
2023,71.1,164.3,105.2,133.9,96.9
2024,62.7,154.2,101.6,134.7,93.5
