year,Headline balance,Interest paid,Primary balance
2000,-4.2,7.1,2.8999999999999995
2001,-5.6,6.5,0.9000000000000004
2002,-6.2,5.7,-0.5
2003,-8.0,5.0,-3.0
2004,-9.1,4.9,-4.199999999999999
2005,-6.3,4.8,-1.5
2006,-6.0,4.5,-1.5
2007,-6.8,4.6,-2.2
2008,-10.3,4.9,-5.4
2009,-15.4,5.1,-10.3
2010,-11.4,6.1,-5.300000000000001
2011,-10.5,7.7,-2.8
2012,-9.3,5.4,-3.9000000000000004
2013,-13.6,4.2,-9.399999999999999
2014,-3.8,4.0,0.20000000000000018
2015,-5.9,3.6,-2.3000000000000003
2016,0.2,3.2,3.4000000000000004
2017,0.7,3.1,3.8
2018,0.9,3.4,4.3
2019,0.8,3.0,3.8
2020,-9.9,3.0,-6.9
2021,-7.2,2.5,-4.7
2022,-2.6,2.5,-0.10000000000000009
2023,-1.4,3.4,2.0
2024,1.3,3.5,4.8
