year,Currency & deposits,Debt securities (market),Loans (mainly official sector)
2000,0.4,79.1,29.4
2001,0.4,78.1,32.0
2002,0.8,78.8,28.2
2003,0.7,78.6,25.0
2004,0.7,82.4,22.4
2005,0.7,88.5,20.6
2006,0.5,85.9,18.9
2007,0.3,87.7,16.6
2008,0.4,94.4,16.1
2009,0.7,112.1,15.6
2010,0.5,117.4,29.9
2011,0.5,123.7,50.9
2012,0.6,50.3,113.3
2013,0.6,44.5,135.3
2014,3.6,39.5,139.6
2015,3.2,34.8,141.6
2016,3.4,32.8,146.9
2017,3.4,31.0,147.7
2018,3.5,29.3,156.3
2019,3.6,31.2,148.3
2020,4.0,40.1,165.3
2021,3.7,43.9,149.7
2022,3.5,41.2,133.1
2023,3.2,41.0,120.1
2024,3.2,40.1,110.9
