year,AT,BE,CY,DE,DK,EL,ES,EU27_2020,FI,FR,IE,IT,NL,PT,SE
1995,42.9,44.6,26.7,40.5,48.0,29.9,32.0,40.4,45.0,43.9,33.3,40.0,38.4,31.2,46.1
1996,44.4,45.4,26.3,40.8,48.3,30.3,31.8,40.9,46.1,45.2,33.6,40.6,38.5,32.0,48.2
1997,45.1,45.8,25.8,40.8,48.2,31.7,32.7,41.2,45.3,45.3,32.9,42.2,37.6,31.9,48.5
1998,45.1,46.4,27.2,40.9,48.8,33.1,33.5,41.0,45.1,45.2,32.1,40.9,37.3,32.4,48.6
1999,44.7,46.2,27.4,41.6,49.4,34.4,33.9,41.5,44.5,46.0,32.1,41.0,38.2,33.0,48.9
2000,43.9,45.8,29.4,41.5,48.3,36.0,33.8,40.9,45.9,45.1,31.8,39.9,37.8,33.3,48.9
2001,45.4,45.7,29.9,39.5,47.4,34.3,33.5,40.0,43.2,45.0,29.7,39.8,36.7,33.1,46.8
2002,44.3,46.0,30.0,39.1,46.9,35.5,34.0,39.6,43.4,44.3,29.0,39.5,36.2,33.8,45.1
2003,43.9,45.3,31.1,39.5,47.1,33.7,33.8,39.6,42.4,44.2,29.7,39.7,36.0,33.0,45.7
2004,43.5,45.5,31.5,38.5,47.6,32.7,34.7,39.3,41.8,44.3,30.8,39.1,36.0,33.4,45.9
2005,42.3,45.3,33.2,38.5,49.1,34.1,35.9,39.5,42.1,44.6,31.2,38.9,36.2,34.3,46.9
2006,41.6,45.2,33.9,38.7,47.6,33.1,36.6,39.8,42.1,45.0,32.6,39.9,36.9,34.8,46.3
2007,41.7,44.8,37.9,38.8,47.6,33.9,37.0,39.9,41.4,44.5,32.0,41.3,36.4,34.9,45.3
2008,42.5,45.6,36.4,39.2,45.8,34.1,32.7,39.4,41.1,44.4,30.4,41.1,36.7,34.9,44.6
2009,42.1,44.9,33.9,39.6,45.9,33.3,30.4,39.0,40.8,44.0,28.9,41.7,36.0,33.3,44.3
2010,42.1,45.3,33.7,38.2,46.1,34.5,32.0,38.8,40.6,44.1,28.3,41.4,36.4,33.6,43.5
2011,42.2,45.8,33.8,38.7,46.2,36.7,31.8,39.3,41.9,45.2,28.8,41.2,36.3,35.3,42.6
2012,42.9,47.0,34.2,39.3,46.8,40.2,33.0,40.3,42.6,46.4,29.3,43.2,36.4,34.3,42.8
2013,43.8,47.8,34.8,39.6,47.1,39.4,33.8,40.8,43.6,47.3,29.2,43.4,37.0,37.0,43.1
2014,43.9,47.3,36.2,39.5,49.8,40.0,34.4,40.9,43.8,47.5,29.0,43.1,37.9,36.9,42.9
2015,44.2,46.8,35.4,39.8,47.4,40.2,34.2,40.6,43.8,47.5,23.1,42.9,37.4,36.9,43.4
2016,42.7,46.0,34.2,40.3,46.7,42.3,33.9,40.7,44.1,47.5,23.9,42.2,38.7,36.5,44.8
2017,42.8,46.5,34.7,40.5,46.3,42.4,34.2,40.8,43.2,48.3,22.5,41.8,39.0,36.5,45.0
2018,43.1,46.4,34.7,40.9,45.3,42.6,34.9,40.9,42.7,48.1,22.5,41.7,39.0,36.8,44.8
2019,43.3,44.9,35.6,41.2,47.9,41.3,35.0,40.8,42.5,47.1,22.2,42.3,39.4,36.6,43.6
2020,42.8,44.7,35.3,41.1,48.0,41.1,37.1,40.9,42.1,47.1,20.2,42.7,39.7,37.3,43.2
2021,43.8,44.8,35.4,41.8,48.2,41.0,37.9,41.0,43.5,46.7,20.8,42.3,39.2,37.2,43.8
2022,43.2,44.1,35.4,41.2,42.6,42.5,37.1,40.4,43.3,47.4,20.9,41.7,38.2,37.7,43.4
2023,42.9,43.7,37.3,39.9,44.6,40.4,36.8,39.7,42.7,45.4,21.9,41.2,39.3,37.0,42.4
2024,43.7,44.5,37.4,40.7,45.7,41.6,37.1,40.2,42.2,45.2,22.3,42.5,39.1,36.9,42.2
2025,,44.0,,,45.0,,,,,,,,,37.2,41.7
