year,CY,EL,ES,IT,PT
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,,,,,
2008,,,,,
2009,69.0,60.7,60.0,56.9,63.0
2010,68.9,58.8,58.8,56.3,62.3
2011,67.6,54.9,58.0,56.3,61.8
2012,64.6,50.4,55.8,56.1,59.3
2013,61.7,48.5,54.8,55.0,58.7
2014,62.1,49.2,56.0,55.3,61.2
2015,62.7,50.7,57.8,56.0,62.8
2016,63.7,51.8,59.5,57.1,64.2
2017,65.6,53.2,61.1,57.9,66.9
2018,68.6,54.5,62.4,58.5,69.0
2019,71.4,56.1,63.3,59.0,69.8
2020,70.9,53.7,60.9,57.5,68.3
2021,72.0,57.2,62.6,58.2,69.6
2022,74.1,60.7,64.3,60.1,71.4
2023,75.2,61.8,65.3,61.5,72.4
2024,75.5,63.3,66.1,62.2,72.8
