year,CY,EL,ES,IT,PT
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,,,,,
2008,,,,,
2009,5.4,9.8,17.9,7.9,11.2
2010,6.3,12.9,19.9,8.5,12.6
2011,7.9,18.1,21.4,8.5,13.5
2012,11.9,24.8,24.8,10.9,16.6
2013,15.9,27.8,26.1,12.4,17.2
2014,16.1,26.6,24.5,12.9,14.6
2015,15.0,25.0,22.1,12.0,13.0
2016,13.0,23.9,19.6,11.7,11.5
2017,11.1,21.8,17.2,11.3,9.2
2018,8.4,19.7,15.3,10.6,7.2
2019,7.2,17.9,14.1,9.9,6.6
2020,7.6,17.6,15.5,9.3,7.1
2021,7.2,14.7,14.9,9.5,6.7
2022,6.3,12.5,13.0,8.1,6.2
2023,5.8,11.1,12.2,7.7,6.5
2024,4.9,10.1,11.4,6.5,6.5
