year,CY,EL,ES,IT,PT
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,,,,,
2008,,,,,
2009,13.8,26.1,37.7,25.4,25.3
2010,16.6,33.6,41.5,28.0,28.0
2011,22.4,45.2,46.2,29.2,30.4
2012,27.7,55.9,52.9,35.3,38.2
2013,38.9,59.2,55.5,40.0,38.6
2014,36.0,53.0,53.2,42.7,34.7
2015,32.8,50.3,48.3,40.3,31.8
2016,29.1,48.2,44.4,37.7,27.8
2017,24.7,44.5,38.6,34.6,23.8
2018,20.2,41.2,34.3,32.2,20.2
2019,17.6,37.5,32.5,29.2,18.4
2020,17.6,38.0,38.3,29.8,22.4
2021,17.3,35.5,35.0,29.7,23.4
2022,18.1,31.4,29.7,23.7,19.2
2023,16.6,26.7,28.7,22.7,20.5
2024,13.0,22.5,26.5,20.3,21.6
