year,CY,EL,ES,IT,PT
2000,65.2,81.9,61.2,63.3,72.6
2001,68.8,84.8,63.5,66.7,75.9
2002,72.8,94.5,66.4,69.0,78.5
2003,77.7,100.2,69.8,71.7,79.7
2004,80.9,105.7,72.7,73.7,80.2
2005,84.1,105.8,75.2,76.5,82.6
2006,88.1,103.7,77.5,79.2,83.1
2007,91.4,109.1,81.0,80.3,87.0
2008,97.0,114.1,84.4,83.4,88.4
2009,103.3,113.8,88.3,86.0,90.8
2010,103.0,114.6,88.6,88.3,91.2
2011,104.0,109.1,90.0,89.7,90.9
2012,102.1,100.1,89.7,91.1,83.4
2013,100.1,90.2,90.2,92.3,84.7
2014,95.9,91.0,90.8,92.5,82.9
2015,94.4,90.0,91.9,92.8,83.9
2016,93.5,91.2,92.5,93.0,86.6
2017,95.5,91.9,92.9,93.7,88.7
2018,98.7,94.5,94.1,94.8,90.4
2019,101.5,96.4,96.3,96.0,91.8
2020,100.0,100.0,100.0,100.0,100.0
2021,101.1,100.5,100.3,99.5,101.3
2022,108.0,106.0,103.4,101.0,105.3
2023,115.4,112.4,108.5,103.4,111.2
2024,120.6,118.5,112.9,107.0,118.7
