year,CY,ES,EL,IT,PT
2000,100.0,100.0,100.0,100.0,100.0
2001,101.73689703239641,100.69648231910855,100.52123820819322,100.06124290305516,100.70772324468133
2002,103.56380458536596,102.12901029248175,100.89039153758794,100.25941435115118,101.26078023319572
2003,105.47903430213354,103.99276875903547,101.13144708845465,100.8027029838797,101.64163920769671
2004,107.40850952919116,105.80269890472913,101.38196977033091,101.5560909687432,101.88498467137381
2005,109.33703505556277,107.60525868455879,101.67970780158227,102.15055965262123,102.07418965669048
2006,111.26461088124837,109.43962689285291,101.9855433300314,102.56006152775376,102.25842860638656
2007,113.19524685358886,111.48430935382746,102.24569046571992,103.18593579289337,102.45936354276787
2008,115.12757118270447,113.27711510766257,102.51747023452573,103.98487706145336,102.60720757387489
2009,117.06337774766875,114.28490787683572,102.78747318108927,104.58947884402173,102.7050705458888
2010,119.00973654247748,114.8122982269907,102.92003152378794,105.05302508294916,102.75223330688021
2011,120.98057651052531,115.22099610667202,102.76787261072936,105.41731437129091,102.60121140170679
2012,122.97537004032006,115.29582873774177,102.21365213966416,105.70603919335055,102.18608580959693
2013,124.92732151694635,114.87959287183568,101.47516039522448,105.91742230547558,101.62680912872023
2014,126.81680379289348,114.52595335066201,100.80146713693227,105.93339291197299,101.0803216902636
2015,128.68465399765952,114.43122319676482,100.139508308865,105.77340234752111,100.66257216543836
2016,130.54290167326707,114.51955912689907,99.72387997269617,105.57252815438444,100.34552334726739
2017,132.35398088146997,114.79833397193404,99.52683778945544,105.37413191657745,100.10108943742688
2018,134.09108895846327,115.31790532525943,99.32512219354629,105.63124568553029,99.9409517956349
2019,135.77248126187786,116.1473549605668,99.22054880116322,104.89439730612011,99.96467409103569
2020,137.4160965824493,116.74123143382653,99.00785762619509,104.38470419816561,100.06980632849812
2021,139.0054734416203,116.94927048660979,97.81042750343148,103.84788178196705,100.69906426672061
2022,140.48922248004837,117.79299496764237,96.58585457006083,103.63800897571267,101.40364851041284
2023,141.92495887268416,119.18923806291602,96.31256635320561,103.58628802432112,102.80154380539048
2024,143.32903857578665,120.41264977618738,96.29204960887701,103.53094760734885,103.93379020861042
