year,CY,ES,EL,IT,PT
2000,947667.0,40567864.0,10805808.0,56942108.0,10289898.0
2001,964127.0,40850412.0,10862132.0,56976981.0,10362722.0
2002,981440.0,41431558.0,10902022.0,57089824.0,10419631.0
2003,999590.0,42187645.0,10928070.0,57399184.0,10458821.0
2004,1017875.0,42921895.0,10955141.0,57828179.0,10483861.0
2005,1036151.0,43653155.0,10987314.0,58166682.0,10503330.0
2006,1054418.0,44397319.0,11020362.0,58399861.0,10522288.0
2007,1072714.0,45226803.0,11048473.0,58756247.0,10542964.0
2008,1091026.0,45954106.0,11077841.0,59211181.0,10558177.0
2009,1109371.0,46362946.0,11107017.0,59555454.0,10568247.0
2010,1127816.0,46576897.0,11121341.0,59819407.0,10573100.0
2011,1146493.0,46742697.0,11104899.0,60026841.0,10557560.0
2012,1165397.0,46773055.0,11045011.0,60191247.0,10514844.0
2013,1183895.0,46604197.0,10965211.0,60311613.0,10457295.0
2014,1201801.0,46460733.0,10892413.0,60320707.0,10401062.0
2015,1219502.0,46422303.0,10820883.0,60229605.0,10358076.0
2016,1237112.0,46458139.0,10775971.0,60115223.0,10325452.0
2017,1254275.0,46571232.0,10754679.0,60002252.0,10300300.0
2018,1270737.0,46782011.0,10732882.0,60148658.0,10283822.0
2019,1286671.0,47118501.0,10721582.0,59729081.0,10286263.0
2020,1302247.0,47359424.0,10698599.0,59438851.0,10297081.0
2021,1317309.0,47443821.0,10569207.0,59133173.0,10361831.0
2022,1331370.0,47786102.0,10436882.0,59013667.0,10434332.0
2023,1344976.0,48352528.0,10407351.0,58984216.0,10578174.0
2024,1358282.0,48848840.0,10405134.0,58952704.0,10694681.0
