year,CY,EL,ES,IT,PT
2000,5.7,5.8,3.9,0.9,6.5
2001,6.6,4.8,7.9,0.8,5.4
2002,7.7,2.6,17.9,3.7,4.0
2003,8.7,2.4,15.7,8.2,2.4
2004,9.7,2.6,15.5,7.2,1.4
2005,11.0,2.9,14.5,4.4,1.5
2006,13.7,2.2,14.9,3.8,1.6
2007,19.9,2.1,17.2,8.5,2.1
2008,21.1,2.1,9.5,7.2,0.9
2009,22.0,1.3,3.0,4.9,1.5
2010,19.2,-0.1,1.6,4.7,0.4
2011,21.3,-2.9,1.4,3.4,-0.7
2012,-0.7,-6.0,-3.0,4.2,-3.5
2013,-8.2,-6.2,-5.4,2.6,-3.4
2014,-3.5,-5.0,-2.2,0.8,-2.5
2015,-0.5,-4.9,-0.1,0.5,-0.3
2016,2.5,-0.2,1.7,0.7,-0.1
2017,6.3,-0.4,3.8,1.0,1.4
2018,9.1,0.2,7.0,1.2,2.3
2019,10.0,1.7,9.7,0.7,6.5
2020,9.4,-1.0,5.0,-1.2,3.4
2021,13.2,-3.3,4.2,1.6,6.9
2022,17.5,0.4,15.3,4.9,13.0
2023,14.4,2.9,13.4,4.5,19.4
2024,13.9,5.2,12.8,4.3,13.4
