year,CY,ES,EL,IT,PT
2000,47.5479465278275,45.6955141735045,48.9160603436348,48.1294446293176,48.187116261373
2001,46.5566015508024,45.9226479881846,49.2575277803581,48.7075175866785,48.3793384190982
2002,45.8164578213726,45.9697413251327,49.6012356692461,49.3473808027516,48.7003669975105
2003,45.1491583704099,45.6859025843891,49.81394017461,49.8629152573739,49.0173222956897
2004,44.323545634102,45.2206844125812,49.9237390044235,50.3372034792499,49.373496396338
2005,43.3855082732175,45.0360312903004,49.9778663729531,50.9499137159275,49.6803556531447
2006,42.4094390563105,45.0937823233074,49.9652587360059,51.5615168509947,49.8485818819196
2007,41.4812391931976,44.9846416971974,49.9217313970267,51.9029280358121,49.9501563011353
2008,40.6615706533581,45.1988178744217,50.0289146353289,52.0470658069481,50.1334939963251
2009,39.9857916008929,45.8498278241454,50.4142717154432,52.3275513333924,50.4568268189575
2010,39.4796855753486,46.6577070829496,51.0371347687828,52.6601278213311,50.8405935299935
2011,39.2263750889524,47.4440422369686,51.8715656781089,53.1271377991006,51.3181626645034
2012,39.2271879595769,48.1844300113021,52.8110001674071,53.7707896984645,51.847563868264
2013,39.3425836453323,49.0823130564992,53.7320344476507,54.4363754385898,52.4520220427443
2014,39.5330557690566,49.9405636720981,54.5221040368717,55.0998998007766,53.0684518514169
2015,39.821643139521,50.463152001926,55.1924638263983,55.6066425327957,53.5461746188761
2016,40.2003427063831,50.7968795026243,55.851580185391,55.9197690149889,54.1064166804349
2017,40.6130010482004,51.0879864250854,56.436632254429,56.129984783102,54.7787059554707
2018,41.0263211340384,51.21278722932,56.9000604480465,56.307902617926,55.4000956836287
2019,41.4645489568307,51.1273134809275,57.2897286477691,56.5632847288554,56.0597690902446
2020,41.9656883212308,50.9641870731648,57.6385194008422,56.7526091414435,56.7408062962516
2021,42.5332066668686,50.8789437442103,58.3823438839074,56.9283547845865,57.3226204831259
2022,43.0844758452367,51.0206958838906,58.9229298063424,57.0326358787404,57.9534940611134
2023,43.6311017609808,51.3142228402432,58.9062451092587,57.1418238396626,58.7431554582857
2024,44.2758859500322,51.6695519755033,59.1322060504029,57.5226887063978,59.5712560251323
