year,CY,EL,ES,EU27_2020,IT,PT
2000,1.64,1.25,1.22,,1.26,1.55
2001,1.57,1.25,1.23,1.43,1.25,1.45
2002,1.49,1.28,1.25,1.43,1.27,1.46
2003,1.51,1.29,1.3,1.44,1.29,1.44
2004,1.52,1.31,1.31,1.46,1.34,1.4
2005,1.48,1.34,1.33,1.47,1.33,1.41
2006,1.52,1.4,1.36,1.5,1.37,1.37
2007,1.44,1.41,1.38,1.52,1.39,1.35
2008,1.48,1.5,1.45,1.57,1.44,1.39
2009,1.47,1.5,1.38,1.56,1.44,1.34
2010,1.44,1.48,1.37,1.57,1.44,1.39
2011,1.35,1.4,1.34,1.54,1.42,1.35
2012,1.39,1.34,1.32,1.54,1.42,1.28
2013,1.31,1.29,1.27,1.51,1.39,1.21
2014,1.31,1.3,1.32,1.54,1.38,1.24
2015,1.31,1.33,1.33,1.54,1.36,1.31
2016,1.36,1.38,1.33,1.57,1.36,1.37
2017,1.34,1.35,1.31,1.56,1.34,1.38
2018,1.36,1.35,1.26,1.54,1.31,1.42
2019,1.4,1.34,1.23,1.53,1.27,1.44
2020,1.36,1.39,1.18,1.51,1.24,1.42
2021,1.39,1.43,1.18,1.53,1.25,1.35
2022,1.37,1.32,1.16,1.46,1.24,1.43
2023,1.4,1.26,1.12,1.38,1.21,1.45
2024,1.38,1.24,1.1,1.34,1.18,1.41
