year,CY,EA,EL,ES,IT,PT
2000,4.9,,2.9,3.5,2.6,2.8
2001,2.0,2.4,3.6,2.8,2.3,4.4
2002,2.8,2.3,3.9,3.6,2.6,3.7
2003,4.0,2.1,3.4,3.1,2.8,3.2
2004,1.9,2.2,3.0,3.1,2.3,2.5
2005,2.0,2.2,3.5,3.4,2.2,2.1
2006,2.2,2.2,3.3,3.6,2.2,3.0
2007,2.2,2.2,3.0,2.8,2.0,2.4
2008,4.4,3.4,4.2,4.1,3.5,2.7
2009,0.2,0.3,1.3,-0.2,0.8,-0.9
2010,2.6,1.6,4.7,2.0,1.6,1.4
2011,3.5,2.7,3.1,3.0,2.9,3.6
2012,3.1,2.5,1.0,2.4,3.3,2.8
2013,0.4,1.4,-0.9,1.5,1.2,0.4
2014,-0.3,0.4,-1.4,-0.2,0.2,-0.2
2015,-1.5,0.2,-1.1,-0.6,0.1,0.5
2016,-1.2,0.2,0.0,-0.3,-0.1,0.6
2017,0.7,1.5,1.1,2.0,1.3,1.6
2018,0.8,1.8,0.8,1.7,1.2,1.2
2019,0.5,1.2,0.5,0.8,0.6,0.3
2020,-1.1,0.3,-1.3,-0.3,-0.1,-0.1
2021,2.3,2.6,0.6,3.0,1.9,0.9
2022,8.1,8.4,9.3,8.3,8.7,8.1
2023,3.9,5.4,4.2,3.4,5.9,5.3
2024,2.3,2.4,3.0,2.9,1.1,2.7
