year,CY,EL,ES,IT,PT
2000,100.90389,97.20549,91.92539,96.50867,95.55555
2001,100.24716,97.40309,93.01237,97.00121,98.00496
2002,102.40384,99.91278,95.68485,99.22957,100.5171
2003,109.06386,106.07092,101.00759,105.88224,105.47263
2004,109.88247,107.55288,102.98466,107.60474,106.74726
2005,109.44453,106.32373,103.06914,105.86962,105.79244
2006,109.12586,106.31109,104.06363,105.34645,106.19823
2007,108.38795,107.04701,105.72594,106.28445,107.31026
2008,111.90312,108.79117,108.40427,107.81356,107.97627
2009,113.0731,111.45647,108.92466,109.21366,107.36419
2010,108.49231,110.14185,105.49517,104.25734,104.05159
2011,108.67116,110.78713,105.72703,104.32112,104.7682
2012,106.45873,105.86794,103.17807,102.36193,103.09712
2013,107.70936,105.31722,105.16594,104.29702,103.44594
2014,106.92468,104.67309,104.71445,104.59926,102.97255
2015,100.0,100.0,100.0,100.0,100.0
2016,99.81491,101.15661,100.71278,100.88122,101.63342
2017,100.30622,101.76128,102.2001,101.57728,102.32688
2018,102.05462,103.85142,104.2536,103.486,103.33196
2019,99.563,101.68175,102.50085,101.1906,101.43178
2020,99.88726,102.04211,103.1791,102.08657,102.19379
2021,99.61706,100.50136,103.75165,101.64068,100.45488
2022,96.59674,99.21275,101.80176,99.36863,98.55832
2023,100.18516,100.84595,102.36761,102.78389,100.77553
2024,100.58282,101.26642,103.02468,101.59988,101.07013
