year,CY,EA,EL,ES,IT,PT
2000,77.969,79.366,76.592,80.096,72.192,85.214
2001,79.499,80.688,77.487,81.862,74.362,88.603
2002,82.019,82.721,83.532,84.533,77.143,91.41
2003,89.328,84.51,86.153,86.476,80.468,94.279
2004,90.335,85.152,87.332,89.362,82.487,94.975
2005,95.208,86.251,93.664,92.221,84.402,98.213
2006,96.53,87.0,93.53,95.534,86.426,98.808
2007,97.712,88.256,96.101,99.103,88.172,99.727
2008,100.757,91.688,100.55,105.154,91.773,102.393
2009,108.58,95.696,107.394,106.477,95.766,105.276
2010,108.036,95.259,109.177,105.738,95.972,104.551
2011,110.33,95.777,112.02,103.851,96.533,102.528
2012,112.113,97.791,112.856,101.161,98.119,99.433
2013,107.324,99.004,105.304,100.227,98.927,100.942
2014,103.193,99.646,103.463,99.958,99.182,99.84
2015,100.0,100.0,100.0,100.0,100.0,100.0
2016,97.298,100.901,99.64,99.193,100.478,100.872
2017,98.468,101.669,98.684,99.663,100.558,102.997
2018,100.026,103.749,97.65,101.157,102.38,106.893
2019,104.48,105.804,97.363,105.325,103.891,110.386
2020,108.141,110.508,103.993,113.916,107.174,120.021
2021,104.495,110.033,102.209,114.79,106.079,122.081
2022,107.276,113.597,102.283,117.222,106.986,124.969
2023,116.528,120.902,105.51,124.095,111.058,135.159
2024,118.412,126.355,110.334,128.295,115.905,143.183
