year,CY,DE,EL,ES,IT,PT
2000,,5.26,6.1,5.53,5.58,5.59
2001,7.62,4.8,5.3,5.12,5.19,5.16
2002,5.7,4.78,5.12,4.96,5.03,5.01
2003,4.74,4.07,4.27,4.12,4.25,4.18
2004,5.8,4.04,4.26,4.1,4.26,4.14
2005,5.16,3.35,3.59,3.39,3.56,3.44
2006,4.13,3.76,4.07,3.78,4.05,3.91
2007,4.48,4.22,4.5,4.31,4.49,4.42
2008,4.6,3.98,4.8,4.37,4.68,4.52
2009,4.6,3.22,5.17,3.98,4.31,4.21
2010,4.6,2.74,9.09,4.25,4.04,5.4
2011,5.79,2.61,15.75,5.44,5.42,10.24
2012,7.0,1.5,22.5,5.85,5.49,10.55
2013,6.5,1.57,10.05,4.56,4.32,6.29
2014,6.0,1.16,6.93,2.72,2.89,3.75
2015,4.54,0.5,9.67,1.73,1.71,2.42
2016,3.77,0.09,8.36,1.39,1.49,3.17
2017,2.62,0.32,5.98,1.56,2.11,3.05
2018,2.18,0.4,4.19,1.42,2.61,1.84
2019,1.07,-0.25,2.59,0.66,1.95,0.76
2020,0.88,-0.51,1.27,0.38,1.17,0.41
2021,0.37,-0.37,0.88,0.35,0.81,0.3
2022,2.96,1.14,3.49,2.18,3.16,2.17
2023,3.91,2.43,4.0,3.48,4.28,3.24
2024,3.13,2.32,3.35,3.15,3.71,2.96
