year,EL,PT,IT,ES,CY
2000,0.8399999999999999,0.33000000000000007,0.3200000000000003,0.27000000000000046,
2001,0.5,0.3600000000000003,0.39000000000000057,0.3200000000000003,2.8200000000000003
2002,0.33999999999999986,0.22999999999999954,0.25,0.17999999999999972,0.9199999999999999
2003,0.1999999999999993,0.10999999999999943,0.17999999999999972,0.04999999999999982,0.6699999999999999
2004,0.21999999999999975,0.09999999999999964,0.21999999999999975,0.05999999999999961,1.7599999999999998
2005,0.23999999999999977,0.08999999999999986,0.20999999999999996,0.040000000000000036,1.81
2006,0.3100000000000005,0.15000000000000036,0.29000000000000004,0.020000000000000018,0.3700000000000001
2007,0.28000000000000025,0.20000000000000018,0.27000000000000046,0.08999999999999986,0.2600000000000007
2008,0.8199999999999998,0.5399999999999996,0.6999999999999997,0.3900000000000001,0.6199999999999997
2009,1.9499999999999997,0.9899999999999998,1.0899999999999994,0.7599999999999998,1.3799999999999994
2010,6.35,2.66,1.2999999999999998,1.5099999999999998,1.8599999999999994
2011,13.14,7.630000000000001,2.81,2.8300000000000005,3.18
2012,21.0,9.05,3.99,4.35,5.5
2013,8.48,4.72,2.75,2.9899999999999993,4.93
2014,5.77,2.59,1.7300000000000002,1.5600000000000003,4.84
2015,9.17,1.92,1.21,1.23,4.04
2016,8.27,3.08,1.4,1.2999999999999998,3.68
2017,5.66,2.73,1.7899999999999998,1.24,2.3000000000000003
2018,3.7900000000000005,1.44,2.21,1.02,1.7800000000000002
2019,2.84,1.01,2.2,0.91,1.32
2020,1.78,0.9199999999999999,1.68,0.89,1.3900000000000001
2021,1.25,0.6699999999999999,1.1800000000000002,0.72,0.74
2022,2.3500000000000005,1.03,2.0200000000000005,1.0400000000000003,1.82
2023,1.5699999999999998,0.81,1.85,1.0499999999999998,1.48
2024,1.0300000000000002,0.6400000000000001,1.3900000000000001,0.8300000000000001,0.81
