year,CY,ES,GR,IT,PT
2005,,,,6.99617313682385,
2006,,,,6.56811457626493,
2007,,,,5.7776082194137,2.29637920040576
2008,3.59414947955595,,2.47019680774369,6.28258103994627,3.1090344283813
2009,4.50936302926019,,3.7737094478324,9.4463437392788,4.33080924700152
2010,5.82172259923197,,5.62295516381546,10.0278370674613,4.6936814254669
2011,9.98623419964975,,9.19946087632775,11.7423491843706,6.37513416721368
2012,18.3749456234796,5.71026349860104,15.7182240298714,13.7463696406392,8.1867265178227
2013,38.5570399026523,7.12373619141485,27.8147390613922,16.5427056350995,9.21340777024835
2014,44.972072758843,6.38267849950904,29.9945374662288,18.0330469839719,10.448048080803
2015,47.7478457712877,5.09174595659944,35.7068688820245,18.064368830052,16.7400634913285
2016,36.6991177413136,4.71813279786195,37.3561319650912,17.1162385246125,16.5658132039701
2017,31.3888946804868,4.46120203086986,45.9667979665881,14.3832990405839,13.1873609272177
2018,19.520510219693,3.68642493378735,43.3731858901074,8.38628316437891,9.42696352418473
2019,17.0931036488541,3.15282728174409,38.0724169271524,6.74918443535526,6.18151003441012
2020,15.0190835443793,2.85122667258747,30.8146791725642,4.35972073669912,4.8872570305011
2021,8.99828242700788,2.91575876060378,11.881332954805,3.34809683915318,3.68197985762537
2022,7.65863990451332,3.06044108799909,8.17432019475188,2.79682283767597,
2023,6.10873133673663,3.06094054703675,5.95812847046636,,
2024,,,,,
