date,deposits_bn_eur
2005-01-01,139.643
2005-02-01,141.532
2005-03-01,141.896
2005-04-01,143.636
2005-05-01,144.716
2005-06-01,149.773
2005-07-01,148.794
2005-08-01,150.017
2005-09-01,152.302
2005-10-01,155.484
2005-11-01,156.804
2005-12-01,162.291
2006-01-01,160.635
2006-02-01,161.342
2006-03-01,162.912
2006-04-01,163.885
2006-05-01,165.236
2006-06-01,169.773
2006-07-01,169.369
2006-08-01,169.884
2006-09-01,169.811
2006-10-01,169.81
2006-11-01,170.758
2006-12-01,177.791
2007-01-01,176.846
2007-02-01,176.975
2007-03-01,180.748
2007-04-01,181.506
2007-05-01,181.852
2007-06-01,188.933
2007-07-01,192.757
2007-08-01,192.769
2007-09-01,192.982
2007-10-01,192.372
2007-11-01,195.117
2007-12-01,201.826
2008-01-01,201.746
2008-02-01,202.833
2008-03-01,205.333
2008-04-01,208.112
2008-05-01,210.156
2008-06-01,214.912
2008-07-01,215.158
2008-08-01,219.18
2008-09-01,223.922
2008-10-01,228.838
2008-11-01,230.553
2008-12-01,233.587
2009-01-01,235.237
2009-02-01,235.477
2009-03-01,236.084
2009-04-01,240.046
2009-05-01,238.177
2009-06-01,243.871
2009-07-01,240.624
2009-08-01,242.334
2009-09-01,244.175
2009-10-01,241.603
2009-11-01,240.444
2009-12-01,244.237
2010-01-01,239.661
2010-02-01,236.036
2010-03-01,233.395
2010-04-01,228.35
2010-05-01,225.738
2010-06-01,223.555
2010-07-01,218.701
2010-08-01,219.48
2010-09-01,219.503
2010-10-01,217.902
2010-11-01,215.698
2010-12-01,215.639
2011-01-01,211.615
2011-02-01,209.309
2011-03-01,205.51
2011-04-01,203.181
2011-05-01,198.593
2011-06-01,195.069
2011-07-01,193.526
2011-08-01,194.796
2011-09-01,189.375
2011-10-01,182.539
2011-11-01,179.607
2011-12-01,180.085
2012-01-01,174.874
2012-02-01,170.176
2012-03-01,171.088
2012-04-01,171.481
2012-05-01,163.09
2012-06-01,156.202
2012-07-01,159.444
2012-08-01,158.748
2012-09-01,160.183
2012-10-01,160.978
2012-11-01,161.386
2012-12-01,167.93
2013-01-01,167.702
2013-02-01,171.04
2013-03-01,172.705
2013-04-01,170.046
2013-05-01,171.055
2013-06-01,170.058
2013-07-01,170.004
2013-08-01,169.961
2013-09-01,169.445
2013-10-01,168.275
2013-11-01,169.046
2013-12-01,170.874
2014-01-01,169.158
2014-02-01,168.86
2014-03-01,169.987
2014-04-01,170.876
2014-05-01,169.847
2014-06-01,171.984
2014-07-01,172.547
2014-08-01,173.002
2014-09-01,172.625
2014-10-01,172.269
2014-11-01,172.033
2014-12-01,167.526
2015-01-01,155.366
2015-02-01,147.523
2015-03-01,145.042
2015-04-01,139.364
2015-05-01,135.682
2015-06-01,127.503797
2015-07-01,125.904
2015-08-01,126.252
2015-09-01,127.22508599999999
2015-10-01,126.388
2015-11-01,126.708
2015-12-01,129.439084
2016-01-01,128.489
2016-02-01,127.696
2016-03-01,127.27114200000001
2016-04-01,127.016
2016-05-01,127.55
2016-06-01,129.296264
2016-07-01,130.098
2016-08-01,131.857
2016-09-01,131.487
2016-10-01,132.349
2016-11-01,132.789
2016-12-01,129.071
2017-01-01,127.953
2017-02-01,127.234
2017-03-01,127.023
2017-04-01,126.514
2017-05-01,127.14
2017-06-01,128.077269
2017-07-01,128.361368
2017-08-01,129.485736
2017-09-01,129.726
2017-10-01,130.915
2017-11-01,131.109
2017-12-01,133.796
2018-01-01,132.07
2018-02-01,132.078
2018-03-01,133.252
2018-04-01,134.27
2018-05-01,135.392
2018-06-01,138.055
2018-07-01,138.918
2018-08-01,140.303
2018-09-01,140.296
2018-10-01,139.848
2018-11-01,139.838
2018-12-01,143.712
2019-01-01,142.589
2019-02-01,141.535
2019-03-01,143.705
2019-04-01,144.239
2019-05-01,145.034
2019-06-01,156.821
2019-07-01,158.069
2019-08-01,159.338
2019-09-01,179.721
2019-10-01,180.198
2019-11-01,179.599
2019-12-01,182.793
2020-01-01,180.098
2020-02-01,181.621
2020-03-01,176.019
2020-04-01,183.043
2020-05-01,184.134
2020-06-01,184.466
2020-07-01,193.838
2020-08-01,194.167
2020-09-01,195.047
2020-10-01,197.013
2020-11-01,199.699
2020-12-01,200.507
2021-01-01,199.258
2021-02-01,199.07
2021-03-01,197.624
2021-04-01,190.023
2021-05-01,191.932
2021-06-01,202.198
2021-07-01,200.266
2021-08-01,201.806
2021-09-01,200.506
2021-10-01,197.77
2021-11-01,200.969
2021-12-01,201.626
2022-01-01,199.412
2022-02-01,198.842
2022-03-01,197.443
2022-04-01,198.804
2022-05-01,199.877
2022-06-01,202.617
2022-07-01,203.934
2022-08-01,204.133
2022-09-01,207.882
2022-10-01,206.253
2022-11-01,205.458
2022-12-01,209.469
2023-01-01,204.673
2023-02-01,203.445
2023-03-01,205.101
2023-04-01,204.94
2023-05-01,205.792
2023-06-01,208.194
2023-07-01,206.925
2023-08-01,207.377
2023-09-01,209.745
2023-10-01,207.369
2023-11-01,206.612
2023-12-01,211.91
2024-01-01,208.141
2024-02-01,206.59
2024-03-01,207.747
2024-04-01,207.88
2024-05-01,207.991
2024-06-01,211.306
2024-07-01,211.236
2024-08-01,212.587
2024-09-01,213.994
2024-10-01,212.038
2024-11-01,214.455
2024-12-01,219.218
