year,CY,ES,GR,IT,PT
2000,,,,,
2001,144.419255356415,94.9394409772958,51.5873930939324,59.9103207179669,114.86502644975
2002,149.493012840461,99.2929603794007,54.7522623827404,61.6384793639264,118.917524058891
2003,147.195228621501,106.544052882645,58.6084658609262,64.9071807206875,120.535758113191
2004,147.338509151311,115.928325847413,63.7510243233114,67.1749295059094,121.106700978667
2005,156.534337063724,135.871253994626,73.5213401671145,70.300040738507,124.690399477514
2006,162.806321227766,156.580256642945,77.4082458435678,75.1153209362712,133.334160148436
2007,180.560809230387,167.635941463016,85.6601665139535,81.1708226078018,142.159884398411
2008,212.093506733987,170.743020696995,90.3657343188434,83.2335798556298,151.415292652547
2009,226.238177594747,173.382324159591,89.0724978615806,86.9986796344792,159.792893296539
2010,234.128270166471,171.30776265034,112.647901748453,92.501740016207,155.320501959879
2011,242.425298402524,167.009703468733,119.010204246774,93.434132864862,155.989744915495
2012,249.095015986358,157.416087817723,119.937064375394,93.1160142531823,152.650354888713
2013,254.551658820734,145.742318057197,119.564505401844,90.2279318804187,142.85459081512
2014,251.710266759916,129.341767497731,117.666173347206,88.0646007046889,129.569181257157
2015,243.304880425395,118.20070057179,113.197845669481,86.7679522186824,119.944517923524
2016,216.137570701221,110.603517289466,108.391497452381,84.0804391360283,111.226347738306
2017,191.690393503647,104.413584678605,100.41862073476,79.5556072738612,102.754604777139
2018,135.240645396808,97.8516443450171,90.982699750015,75.441160157782,96.9980504068812
2019,106.611493751467,93.4379561461582,79.9951550161284,72.3613449346776,93.2615963097003
2020,106.402007576953,105.624708868292,81.0280473649208,81.0726558295782,103.971918400043
2021,87.3329388092712,96.2196695357409,55.9784544551461,74.4472993704123,98.7525990646982
2022,70.7563423248242,86.028986897678,52.2620642801894,68.3171872733754,89.3698205593421
2023,60.5194555776807,76.4840318315138,49.0363795968018,61.9357764907962,80.1494300323302
2024,56.6031186100936,72.4022002973036,48.3669668882107,59.3116245474103,77.1374541603137
