year,CY,ES,GR,IT,PT
2005,,,4.40371215061429,4.61242388248392,6.17598140010812
2006,,,,4.60416400229058,6.50537745437133
2007,,,,4.58925373403021,4.61443076560523
2008,4.26267885630056,,3.4828321406596,4.08938520667557,4.43715709395348
2009,4.63488527505734,,4.40632545846777,4.81644302856251,5.08878759962213
2010,6.00399735711519,,5.31702891281937,4.97901089089455,5.14474111116866
2011,4.38694605574097,,-1.26151865604048,5.44795550454532,5.07172575956405
2012,3.79657259931127,4.53505751255773,4.50391951035432,5.38561894112228,6.63041348692
2013,8.12294910290514,5.33995094763897,7.2650484914582,5.40437637297026,6.74662853927924
2014,9.57783632893941,5.61507541855652,8.07355026882126,5.88069247298708,6.41862362577497
2015,9.86910567244994,6.00001242462912,10.1669047034253,6.18553029060669,7.16937013294391
2016,10.1841003639361,6.15140677490154,10.4331869506799,5.49301015373371,6.50912717272776
2017,8.69778491699018,6.05560632654632,11.997373253489,6.63508479542177,7.63271285385605
2018,8.10080559529895,6.04633140039262,10.7157998546345,6.33332010943286,7.01355268670888
2019,8.9201400679064,6.09899130680541,10.9783046101491,6.71281171151418,7.63247910791789
2020,8.6621137957118,5.91090648276954,8.83237171883536,6.60331222306056,7.36972327121168
2021,7.34038844640039,5.78324237360126,6.97082251307764,6.12242463285733,6.61793895963021
2022,6.8692151867296,5.52036620087101,6.92333288644458,5.89043874888019,
2023,7.68163716616091,5.65749797516881,7.78537580313021,,
2024,,,,,
