year,CY,ES,GR,IT,PT
2000,-4.88747484293358,-4.25952269013291,-7.80647954386925,-0.270230356072507,-10.8233299998961
2001,-3.09916834386667,-4.3292603031356,-7.1208377005018,0.15478537448926,-10.4344116184086
2002,-3.32012511756835,-3.6345919631106,-6.38625728965696,-0.489738960441859,-8.31755894208286
2003,-2.00767143097125,-3.80656644846324,-6.5062606053612,-0.766212290849881,-6.6669232574819
2004,-4.77327486436682,-5.42400165587703,-5.74201400267067,-0.4953081424742,-7.98339399989486
2005,-5.26682635799638,-7.21356556640438,-7.51860335220303,-0.896244191801551,-9.60021052870909
2006,-6.36794765544154,-8.79382150381904,-10.9919390863756,-1.44603855867144,-10.2302140524554
2007,-7.63669144927273,-9.36792330694923,-14.1869570945957,-1.35566295251184,-9.65792414363096
2008,-14.4443028383531,-8.8166948769233,-14.6094922064777,-2.68669173430211,-11.859800223599
2009,-6.67074544398167,-3.94046083652282,-10.9982860428605,-1.77411764067094,-10.3235445210728
2010,-10.7622757102317,-3.57734356702049,-10.2094499511211,-3.24412215335914,-10.2611634070617
2011,-2.09343664640065,-2.58929008588059,-10.0976272377955,-2.74163808728921,-6.11854777822696
2012,-3.86860062836353,0.125923054524352,-2.58418506053025,-0.215238993496647,-1.52721549957903
2013,-1.50316970166727,2.07791536141212,-2.13029886404193,1.03825599780866,1.53973827822347
2014,-4.07615408092307,1.73595007328569,-1.43786972023484,1.70979552518118,0.315317528197345
2015,-0.244186265425847,2.03697429462383,-1.5031156236834,1.23326652485504,0.508297093307308
2016,-3.87009257416934,3.15808866042231,-2.30350655253683,2.46140246001819,1.42555528145605
2017,-4.91227621613631,2.82857699785742,-2.38344142611836,2.47968309636806,1.56389644169824
2018,-3.74116387276707,1.86142647160726,-3.55679128954824,2.57144669559437,0.7276825303456
2019,-5.52358779333744,2.11978917805627,-2.11808020939794,3.23388196417885,0.765771121812588
2020,-9.70521766643821,0.819280213926566,-7.12181074881181,3.9369545603398,-0.629832722737581
2021,-5.5665991993294,0.765004613238441,-7.1523233874729,2.03966459401318,-0.672210743652409
2022,-6.97567030730339,0.379418337465124,-10.8779875356728,-1.82962143546248,-2.08477766426278
2023,-9.70178364214433,2.73246084042226,-6.77841375377555,0.224243443277791,0.553524092563558
2024,-8.15906957648769,3.18327391138732,-7.10950344070576,1.08253400174467,2.07776282936738
