year,Goods,Services,Primary income,Secondary income,Current account
2000,,,,,
2001,,,,,
2002,-22.525,9.609,0.535,1.216,-11.167
2003,-25.185,10.194,-1.189,1.061,-15.118
2004,-28.182,13.995,-1.65,0.901,-14.936
2005,-29.364,14.266,-2.653,0.077,-17.672
2006,-35.205,13.99,-4.234,0.425,-25.025
2007,-42.788,15.141,-6.589,-1.105,-35.341
2008,-44.364,15.68,-7.543,-0.344,-36.57
2009,-33.136,11.505,-6.742,-0.953,-29.323
2010,-27.271,12.096,-5.712,-1.764,-22.648
2011,-23.391,13.594,-6.525,-1.508,-17.831
2012,-20.351,13.822,0.82,-0.953,-6.666
2013,-19.672,15.745,-0.458,1.797,-2.588
2014,-20.631,18.244,1.401,-0.334,-1.319
2015,-17.666,16.581,0.153,-0.507,-1.438
2016,-17.96,16.298,-0.798,-0.588,-3.049
2017,-19.834,18.042,-1.056,-0.558,-3.407
2018,-22.488,19.305,-1.726,-0.322,-5.231
2019,-22.834,21.115,-1.592,0.584,-2.725
2020,-18.528,7.279,-1.341,0.561,-12.029
2021,-26.72,12.845,-0.614,1.234,-13.253
2022,-39.51,19.321,-1.757,-0.302,-22.248
2023,-33.062,21.807,-5.354,1.326,-15.281
2024,-35.665,22.672,-6.026,2.077,-16.944
