year,CY,GR,ES,IT,PT
2005,20.54153167445813,5.0377881791576815,8.162177780485731,6.116297967099926,4.122575912806041
2006,19.4063705876107,5.251980241925371,8.617945737796555,6.292178681547371,4.330475263099616
2007,18.970000633315564,5.927889504973175,8.527750502817192,6.437140387510153,4.553924353634644
2008,18.5234622256171,5.933002149817868,8.226451440003894,6.333144214709901,4.484726303210766
2009,16.317203518502254,7.668811225494593,7.538060838456522,6.239627787619484,4.200007876539783
2010,16.847899016041215,7.5578281129306015,7.848795026370922,6.291515528247497,4.259241920279976
2011,17.01067459282573,7.860912300852114,8.354019401303367,6.453785355119078,4.431958244240059
2012,16.9099617058251,7.276137716777035,8.1735483359587,6.334087200630029,4.4304680863154005
2013,16.281467084813887,8.115245565439581,8.332046822434608,6.250869875428579,4.74950363622464
2014,15.947478698467034,9.24919705673447,8.688172018497005,6.260088913720542,5.264166286547456
2015,15.536852119891362,9.804387504170117,9.094664720561589,6.515811122678033,5.716137214756808
2016,17.769765815662613,10.248326869524838,9.801124257963634,6.697760154825553,6.366772647372044
2017,19.291110937395818,11.114519160213185,10.133895657332875,7.00269728332491,6.963694639787527
2018,19.535809770305292,13.399822692376054,10.010505225954212,7.154836493830793,7.199037517282215
2019,19.74140917597737,13.501795121545756,10.013300403924205,7.3012965966863455,7.509003148595596
2020,4.128030016765862,3.625412116607528,3.0575441718329475,3.4950014157929794,2.906665240214951
2021,10.652677598974714,6.999943630449183,5.4762740281292315,4.8817796978344985,4.083433348113874
2022,15.329087811530668,12.688839317249602,9.510527789771158,6.979630759090446,7.383851942167044
2023,16.474964281349173,14.15224851920828,10.085969511594184,7.5795129501143625,8.071682910318819
2024,18.532829727897845,14.7405686945077,10.390151809878692,7.904838427144898,8.277805556270904
