year,CY,GR,ES,EU,IT,PT
2000,186.5,439.3,149.1,113.0,133.3,306.6
2001,193.2,468.0,153.5,113.8,141.3,320.8
2002,199.5,650.9,154.5,115.0,148.6,317.5
2003,212.4,613.6,165.5,115.9,152.8,290.2
2004,221.9,516.4,169.4,116.7,155.6,277.5
2005,228.2,315.8,185.2,118.3,157.2,279.5
2006,237.5,326.1,193.8,123.7,163.2,262.1
2007,253.6,372.6,183.8,127.7,173.7,250.9
2008,259.5,401.6,153.2,124.1,172.2,238.7
2009,232.0,332.8,129.5,114.3,152.4,211.6
2010,213.5,234.4,104.2,107.6,147.0,187.5
2011,199.0,137.5,88.0,106.7,140.6,163.0
2012,157.0,91.5,81.6,101.2,121.7,136.1
2013,127.4,84.0,83.1,98.6,109.3,114.6
2014,99.8,97.0,97.9,99.7,101.8,103.4
2015,100.0,100.0,100.1,100.0,100.0,100.0
2016,120.7,106.0,104.9,101.8,99.9,95.0
2017,154.1,86.7,103.9,105.9,101.2,96.1
2018,180.7,74.6,106.0,108.7,102.2,98.9
2019,202.2,70.1,103.8,111.4,105.3,101.1
2020,188.7,63.4,90.5,106.2,97.1,96.6
2021,197.6,67.7,84.9,112.0,121.5,99.3
2022,186.4,84.1,78.5,114.9,136.8,101.5
2023,,,82.9,115.0,136.7,107.4
2024,,,,,,
