year,CY,GR,ES,EU,IT,PT
2004,3.071,7.161,8.345,9.605,6.316,19.205
2005,3.131,7.277,8.444,10.182,7.549,19.523
2006,3.263,7.458,9.156,10.778,8.328,20.792
2007,4.001,8.249,9.667,11.749,9.807,21.907
2008,5.131,8.183,10.744,12.552,11.492,22.929
2009,5.92,8.731,12.958,13.85,12.775,24.405
2010,6.161,10.077,13.782,14.405,13.023,24.15
2011,6.245,11.153,13.176,14.547,12.881,24.603
2012,7.111,13.741,14.239,16.002,15.441,24.574
2013,8.428,15.326,15.081,16.659,16.741,25.699
2014,9.144,15.683,15.879,17.416,17.082,29.508
2015,9.903,15.69,16.221,17.82,17.525,30.514
2016,9.833,15.39,17.015,17.978,17.415,30.864
2017,10.478,17.3,17.118,18.411,18.267,30.611
2018,13.873,18.001,17.023,19.096,17.796,30.203
2019,13.777,19.633,17.852,19.887,18.181,30.623
2020,16.879,21.749,21.22,22.038,20.359,33.982
2021,19.069,22.001,20.552,21.897,18.888,33.982
2022,19.427,22.671,21.837,23.003,18.826,34.675
2023,20.213,25.269,24.981,24.579,19.179,35.154
2024,20.844,25.364,25.417,25.241,19.385,36.319
