year,GR,PT,IT,ES,CY,EU
2000,11.15482951996045,17.18084898313342,19.71974804808622,17.897025968620188,8.943898747549442,19.419905419595967
2001,11.735207535160411,16.738675782595188,19.101545892235446,17.365393162767695,8.550009038064523,19.024801445974582
2002,11.563244970047204,16.230278724684176,18.693755022668636,16.66532526541453,8.581740040773598,18.500675407637562
2003,11.176491366659281,15.416822652420922,17.85844060825374,16.095701349387927,8.273422244016917,18.049046565112086
2004,10.726666603907688,14.933678610854148,17.621975102915172,15.538645549781407,8.194488619218882,17.860129472536645
2005,10.650375448232191,14.501350062954419,17.258045532495363,15.043377737443144,7.786563972205521,17.593657705334508
2006,10.324754966635776,14.303467503049314,17.421646193739615,14.624797664823848,7.039588863161461,17.58099515490623
2007,10.249084615647561,14.129452630443676,17.8057933731539,13.990053522307482,6.652792961289728,17.638293931554397
2008,10.076846031062306,13.66100817243112,17.195930279470595,13.448499176829506,6.340571985502391,16.936012368295106
2009,9.153965043386226,12.566348562482668,15.174286412052176,12.087409391915207,6.117116842778404,15.317677214304098
2010,9.098174604301516,13.185342490111198,15.809099869629712,12.09550636722586,5.730602255179044,16.067959228185007
2011,9.296804605396325,12.955609749769748,15.825303686070253,12.153234984472034,5.1764679218770375,16.457644246995752
2012,9.236032832171718,13.015434435049439,15.436693772393662,11.752639194490875,4.7230526370569965,16.237985465396854
2013,8.782327483771697,13.172373983577074,15.431582630480895,11.886212313668024,4.369676638940502,16.085827244561678
2014,8.832457706651976,13.568909129284387,15.569385672827924,12.071827261268703,4.652543921476492,16.377279931572982
2015,9.396914083547939,14.081177237160006,16.031750140247674,12.119408544683056,4.864173491399882,17.04394531810744
2016,9.304176676604243,14.108380475439736,16.49683683567561,12.065528742397488,5.220316583065509,17.14123528309891
2017,9.188195291063643,14.37475528090499,16.654441612263888,12.25523549601271,5.601307742171866,17.067720948225322
2018,9.434423618235783,14.258571337449826,16.792816774256988,11.913157139669078,6.072663814219484,16.950799728389466
2019,9.032019640073015,13.805338648726318,16.64689443134814,11.784689903406774,6.155814960610765,16.7062668043995
2020,9.589347192234525,13.880241661683923,16.157746538361835,11.887514985974292,6.3125670137183985,16.266426051292473
2021,9.933521886726362,14.377660298407092,17.220436487129934,12.432202897384666,5.618795702886822,16.526353932719445
2022,11.018593198427654,14.406910176332133,17.135786632364088,12.092786011165883,4.845136612852939,16.591249867406045
2023,10.254836881646552,13.86361774494852,17.21764476448206,12.000722882222146,5.233711761864551,16.45701285777349
2024,10.447629687503804,13.50263837591542,16.871108431003087,11.902658918629779,5.020298269544172,15.935878350912683
