year,Attiki (Athens),North Aegean,South Aegean,Crete,East Macedonia & Thrace,Central Macedonia,West Macedonia,Epirus,Thessaly,Ionian Islands,West Greece,Central Greece,Peloponnese
2000,108.0,61.0,99.0,77.0,66.0,70.0,78.0,65.0,62.0,85.0,65.0,92.0,72.0
2001,111.0,63.0,99.0,81.0,66.0,72.0,79.0,66.0,64.0,88.0,67.0,93.0,74.0
2002,117.0,63.0,96.0,83.0,67.0,74.0,79.0,68.0,71.0,86.0,69.0,92.0,75.0
2003,121.0,71.0,101.0,84.0,68.0,75.0,83.0,70.0,75.0,93.0,72.0,95.0,77.0
2004,124.0,71.0,104.0,88.0,69.0,78.0,84.0,68.0,76.0,94.0,73.0,93.0,76.0
2005,121.0,71.0,104.0,84.0,67.0,74.0,83.0,65.0,71.0,94.0,72.0,92.0,74.0
2006,127.0,74.0,105.0,85.0,65.0,75.0,85.0,66.0,73.0,94.0,75.0,89.0,78.0
2007,123.0,72.0,102.0,81.0,64.0,74.0,78.0,63.0,69.0,91.0,72.0,85.0,75.0
2008,124.0,74.0,105.0,82.0,66.0,75.0,76.0,62.0,70.0,92.0,70.0,84.0,75.0
2009,126.0,74.0,101.0,82.0,66.0,74.0,79.0,62.0,70.0,89.0,69.0,83.0,75.0
2010,113.0,66.0,90.0,73.0,62.0,66.0,75.0,58.0,60.0,79.0,63.0,74.0,68.0
2011,100.0,58.0,79.0,62.0,52.0,58.0,71.0,51.0,52.0,66.0,55.0,66.0,61.0
2012,94.0,55.0,74.0,57.0,50.0,55.0,79.0,47.0,51.0,63.0,52.0,63.0,59.0
2013,95.0,56.0,80.0,60.0,49.0,55.0,79.0,48.0,52.0,65.0,52.0,62.0,60.0
2014,95.0,56.0,80.0,61.0,48.0,54.0,80.0,48.0,52.0,66.0,52.0,60.0,59.0
2015,93.0,53.0,77.0,59.0,46.0,54.0,73.0,47.0,52.0,63.0,51.0,59.0,59.0
2016,91.0,50.0,72.0,56.0,46.0,53.0,66.0,46.0,50.0,61.0,49.0,59.0,58.0
2017,91.0,47.0,70.0,57.0,45.0,52.0,65.0,44.0,49.0,61.0,49.0,59.0,58.0
2018,90.0,45.0,70.0,56.0,44.0,52.0,62.0,44.0,50.0,61.0,47.0,59.0,56.0
2019,90.0,43.0,70.0,56.0,43.0,52.0,58.0,43.0,50.0,61.0,47.0,58.0,56.0
2020,86.0,39.0,57.0,49.0,41.0,49.0,53.0,41.0,48.0,50.0,45.0,58.0,53.0
2021,89.0,39.0,60.0,52.0,43.0,50.0,54.0,42.0,51.0,54.0,46.0,59.0,54.0
2022,91.0,41.0,65.0,56.0,44.0,54.0,53.0,43.0,51.0,58.0,48.0,62.0,57.0
2023,96.0,42.0,69.0,59.0,44.0,55.0,50.0,44.0,52.0,63.0,49.0,59.0,57.0
2024,96.0,42.0,70.0,60.0,45.0,55.0,48.0,45.0,53.0,63.0,49.0,60.0,57.0
