year,Attica,Rest of Greece,Ratio (Attica/Rest)
2000,16206.11970418907,10875.45226749323,1.4901559315035775
2001,17203.15131372759,11587.310827381201,1.484654340425215
2002,18873.926978149117,12210.76877873439,1.5456788446456313
2003,20616.20041487155,13337.095355766874,1.5457788870016016
2004,22416.860512688636,14373.662673632056,1.5595788646001498
2005,23175.278847134166,14702.087851153728,1.5763256948104494
2006,25820.27782862694,15889.491026584341,1.6249908688344785
2007,27585.66133397211,16930.835967757987,1.6293147831864003
2008,28697.595701234386,17568.237718540182,1.6334931346556818
2009,28390.96157303354,17021.74457189053,1.6679231352065977
2010,27071.059746866686,16191.928298759289,1.6718860933284279
2011,24717.311576112872,14694.794740326035,1.682045378169363
2012,22319.013482241673,13691.134085985523,1.6301800378310365
2013,21561.808654659428,13236.461328059773,1.6289707740052002
2014,21504.765128031566,13182.389573816956,1.6313252622077432
2015,21488.111996487194,13268.65319482887,1.6194644385506778
2016,21624.88067125559,13254.8850211252,1.6314649758779927
2017,22063.856184116306,13487.585424548222,1.635864054952249
2018,22480.216296265397,13816.63196648173,1.627040247637845
2019,23258.314838507533,14121.935317302818,1.6469636997990227
2020,21209.666758016323,12718.347888826427,1.6676432303483266
2021,23388.339877182334,14113.939069847347,1.6571093131008745
2022,26151.73262165224,16145.462327596224,1.619757433452559
2023,28963.158846218303,17381.80999379533,1.6662913043323504
2024,30613.638863671003,18361.200341234235,1.6673005192869195
