year,Cyprus (single NUTS2),"Attica (GR, capital)","South Aegean (GR, islands)",E. Macedonia & Thrace (GR),"Madrid (ES, capital)",Andalucía (ES),Campania (IT),Calabria (IT),"Lazio (IT, capital)",Norte (PT),"Lisboa (PT, capital)"
2000,96.0,108.0,99.0,66.0,129.0,72.0,81.0,73.0,154.0,68.0,143.0
2001,98.0,111.0,99.0,66.0,131.0,74.0,81.0,73.0,153.0,68.0,140.0
2002,97.0,117.0,96.0,67.0,132.0,75.0,80.0,71.0,153.0,67.0,141.0
2003,98.0,121.0,101.0,68.0,132.0,77.0,79.0,71.0,151.0,66.0,142.0
2004,100.0,124.0,104.0,69.0,132.0,78.0,76.0,69.0,149.0,65.0,141.0
2005,103.0,121.0,104.0,67.0,135.0,80.0,74.0,69.0,146.0,66.0,143.0
2006,102.0,127.0,105.0,65.0,140.0,81.0,74.0,69.0,143.0,66.0,141.0
2007,105.0,123.0,102.0,64.0,138.0,81.0,73.0,67.0,141.0,65.0,138.0
2008,106.0,124.0,105.0,66.0,135.0,78.0,72.0,67.0,138.0,65.0,137.0
2009,106.0,126.0,101.0,66.0,136.0,77.0,72.0,68.0,140.0,66.0,139.0
2010,101.0,113.0,90.0,62.0,129.0,73.0,69.0,66.0,135.0,66.0,138.0
2011,96.0,100.0,79.0,52.0,126.0,70.0,67.0,65.0,133.0,62.0,129.0
2012,91.0,94.0,74.0,50.0,125.0,68.0,67.0,64.0,128.0,62.0,124.0
2013,84.0,95.0,80.0,49.0,123.0,67.0,65.0,62.0,123.0,64.0,125.0
2014,80.0,95.0,80.0,48.0,124.0,67.0,63.0,59.0,119.0,65.0,123.0
2015,81.0,93.0,77.0,46.0,126.0,68.0,63.0,58.0,115.0,65.0,120.0
2016,86.0,91.0,72.0,46.0,127.0,68.0,63.0,59.0,119.0,65.0,120.0
2017,87.0,91.0,70.0,45.0,127.0,69.0,63.0,58.0,116.0,65.0,118.0
2018,89.0,90.0,70.0,44.0,125.0,68.0,61.0,57.0,114.0,66.0,118.0
2019,91.0,90.0,70.0,43.0,124.0,67.0,61.0,56.0,114.0,66.0,119.0
2020,89.0,86.0,57.0,41.0,113.0,61.0,60.0,55.0,110.0,65.0,114.0
2021,91.0,89.0,60.0,43.0,116.0,64.0,61.0,56.0,110.0,65.0,112.0
2022,95.0,91.0,65.0,44.0,120.0,66.0,63.0,57.0,115.0,66.0,120.0
2023,97.0,96.0,69.0,44.0,125.0,68.0,64.0,57.0,114.0,69.0,127.0
2024,99.0,96.0,70.0,45.0,125.0,69.0,64.0,57.0,113.0,71.0,129.0
