year,Attiki (Athens),North Aegean,South Aegean,Crete,East Macedonia & Thrace,Central Macedonia,West Macedonia,Epirus,Thessaly,Ionian Islands,West Greece,Central Greece,Peloponnese
2000,12.3,7.7,10.5,7.3,8.8,10.9,15.0,11.0,13.0,5.6,10.6,14.4,9.7
2001,10.4,6.3,9.9,6.3,9.3,10.9,16.2,12.6,12.2,7.3,10.3,14.1,8.4
2002,9.4,9.8,16.0,6.9,9.7,10.9,13.8,11.6,10.9,6.9,10.8,9.9,7.4
2003,8.9,7.7,11.2,5.4,10.1,10.1,15.9,11.3,10.4,10.3,9.6,9.5,8.2
2004,9.3,9.6,8.8,6.1,13.1,11.9,16.3,11.5,9.8,10.4,12.3,12.4,8.5
2005,9.1,10.7,9.5,7.3,11.9,11.2,18.1,11.5,9.5,8.6,10.7,11.0,8.6
2006,8.5,9.6,9.0,7.2,11.1,9.5,14.2,9.8,8.2,11.3,9.7,9.2,7.6
2007,7.8,8.1,9.4,5.4,9.9,9.1,12.1,10.0,7.8,9.0,9.9,9.4,7.4
2008,6.7,4.7,8.4,6.5,8.8,8.5,12.5,9.9,8.4,8.3,9.9,8.5,7.1
2009,9.1,6.6,12.3,9.1,11.1,10.1,12.5,11.3,9.3,9.5,9.8,10.5,8.0
2010,12.6,9.5,14.6,12.0,14.6,13.7,15.4,12.7,12.1,14.6,11.9,12.6,9.7
2011,18.0,15.0,15.3,15.9,20.2,19.8,23.1,16.5,16.9,14.2,17.6,19.1,13.8
2012,25.8,21.8,15.5,22.3,22.9,26.2,29.7,22.6,22.7,14.8,25.6,27.9,19.2
2013,28.7,22.0,21.3,25.0,26.8,30.2,31.6,27.4,25.5,18.1,28.4,28.2,22.0
2014,27.4,22.4,20.1,24.0,24.3,28.7,27.6,26.8,25.6,21.4,28.7,26.9,23.4
2015,25.2,18.0,14.9,24.3,23.4,26.0,30.8,24.6,27.1,19.0,28.5,26.0,22.3
2016,23.0,18.3,17.5,22.6,22.8,24.5,31.3,24.4,25.5,16.0,29.8,25.0,19.2
2017,21.6,22.5,16.0,17.7,19.5,22.9,29.1,24.8,20.7,19.7,26.3,20.9,16.8
2018,19.9,22.3,16.9,13.4,16.0,20.7,27.0,20.1,18.4,16.0,24.1,18.9,14.4
2019,16.9,17.7,13.7,11.7,16.2,19.6,24.6,16.4,18.7,12.4,24.1,17.2,12.0
2020,14.1,16.5,16.7,17.3,17.2,18.4,19.7,17.9,16.9,16.0,21.6,19.3,11.4
2021,11.9,13.9,18.8,16.3,18.5,16.1,19.8,15.1,16.7,13.2,17.5,17.2,12.7
2022,10.0,11.5,10.7,12.1,14.7,14.7,17.7,13.3,16.4,12.9,12.6,13.8,12.6
2023,9.4,10.0,7.1,10.8,12.1,14.1,16.7,13.8,12.9,14.7,9.8,9.9,9.6
2024,9.1,7.1,9.9,8.6,11.6,12.8,12.5,10.7,10.0,16.2,10.1,8.6,7.6
