region,pop_y0,pop_y1,change_thousands,change_pct
West Macedonia,286855.0,246524.0,-40.331,-14.059716581548166
Peloponnese,585499.0,531073.0,-54.426,-9.295660624527113
Central Greece,555149.0,504963.0,-50.186,-9.04009554191757
Thessaly,743210.0,677721.0,-65.489,-8.811641393415048
West Greece,694901.0,638468.0,-56.433,-8.121012921265047
East Macedonia & Thrace,602965.0,561325.0,-41.64,-6.905873475243174
Epirus,343786.0,320698.0,-23.088,-6.715805762887372
Central Macedonia,1899242.0,1774437.0,-124.805,-6.571305815688577
Attiki (Athens),3982602.0,3772675.0,-209.927,-5.271101656655619
Ionian Islands,207149.0,200014.0,-7.135,-3.4443806149196954
South Aegean,327471.0,326373.0,-1.098,-0.33529686598202657
North Aegean,198191.0,200051.0,1.86,0.9384886296552208
Crete,608988.0,621442.0,12.454,2.045032086018117
