year,CY,GR,ES,EU,IT,PT
2003,,32.9,,,,
2004,,30.9,25.0,,26.2,27.5
2005,25.3,29.4,24.3,,25.6,26.1
2006,25.4,29.3,24.0,,25.9,25.0
2007,25.2,28.3,23.3,,26.0,25.0
2008,23.3,28.1,23.8,,25.5,26.0
2009,23.5,27.6,24.7,,24.9,24.9
2010,24.6,27.7,26.1,23.9,25.0,25.3
2011,24.6,31.0,26.7,24.5,28.1,24.4
2012,27.1,34.6,27.2,24.9,29.9,25.3
2013,27.8,35.7,27.3,24.6,28.5,27.5
2014,27.4,36.0,29.2,24.5,28.3,27.5
2015,28.9,35.7,28.6,23.8,28.7,26.6
2016,27.7,35.6,27.9,23.7,30.0,25.1
2017,25.2,34.8,26.6,22.5,28.9,23.3
2018,23.9,31.8,26.1,21.6,27.3,21.6
2019,22.8,30.0,25.3,20.9,25.6,21.6
2020,22.1,28.8,26.4,21.5,25.3,19.8
2021,17.3,28.3,27.8,21.7,25.2,22.4
2022,17.5,26.3,26.0,21.6,24.4,20.1
2023,17.4,26.1,26.5,21.3,22.8,20.1
2024,17.1,26.9,25.8,21.0,23.1,19.7
2025,17.1,27.5,25.7,20.9,22.6,18.6
