year,CY,GR,ES,EU,IT,PT
2003,,36.2,,,,
2004,,34.2,34.0,,34.2,40.9
2005,31.0,34.7,34.4,,34.1,41.3
2006,30.8,35.9,33.9,,33.6,41.3
2007,31.7,36.1,34.1,,33.7,40.4
2008,31.7,35.2,35.0,,32.7,38.9
2009,32.2,34.8,36.0,,33.6,39.1
2010,33.5,34.9,37.7,35.5,33.7,38.3
2011,32.6,35.6,38.9,35.9,34.6,38.5
2012,34.1,36.6,38.7,35.4,34.6,38.7
2013,35.5,37.0,38.8,35.8,35.2,38.4
2014,37.5,37.0,39.9,36.1,34.8,38.7
2015,37.2,36.5,39.4,35.9,34.8,37.8
2016,36.5,36.8,39.1,35.7,35.6,37.5
2017,34.7,36.0,38.1,35.2,34.9,36.9
2018,34.0,35.2,37.0,35.2,35.7,35.2
2019,34.3,34.3,36.6,34.8,35.3,34.7
2020,32.8,34.5,35.5,34.9,35.2,34.1
2021,32.7,35.7,38.3,35.9,37.2,35.8
2022,31.8,34.2,36.2,34.9,36.7,35.0
2023,31.7,34.7,35.0,34.7,35.7,36.3
2024,32.3,34.6,34.6,34.3,36.3,34.5
2025,33.6,34.1,34.1,34.1,35.1,33.6
