year,CY,GR,ES,EU,IT,PT
1992,,19.2,20.6,,7.2,14.4
1993,,19.7,22.9,,7.0,13.2
1994,,20.6,24.5,,7.5,13.5
1995,,21.0,26.1,,7.5,13.4
1996,,22.0,28.1,,8.0,14.1
1997,,22.4,29.3,,8.4,15.2
1998,,23.7,31.0,,8.9,11.1
1999,31.1,23.5,32.3,,10.0,12.4
2000,32.7,23.3,33.9,,10.6,12.8
2001,36.2,22.9,35.4,,11.3,14.1
2002,41.0,23.1,37.5,23.1,12.2,15.3
2003,43.9,23.1,37.9,24.6,13.0,16.7
2004,42.7,24.8,39.0,26.3,14.7,18.4
2005,41.3,24.9,40.7,27.2,16.2,19.0
2006,44.6,26.3,40.3,28.1,17.3,20.0
2007,47.0,27.3,40.0,28.9,18.8,21.4
2008,48.0,27.7,40.0,29.9,19.9,23.2
2009,47.8,28.9,39.5,31.2,20.2,23.5
2010,48.1,30.6,40.3,32.2,20.8,25.5
2011,50.5,32.3,40.3,33.1,21.1,27.6
2012,53.6,34.5,40.4,34.1,22.5,28.9
2013,51.4,37.2,41.1,35.2,22.9,30.0
2014,54.0,38.7,41.5,35.9,24.2,31.6
2015,54.7,40.1,41.0,36.5,25.2,33.2
2016,56.2,41.0,41.0,36.8,25.6,34.9
2017,57.0,42.5,42.6,37.6,26.9,34.2
2018,58.5,42.8,44.3,38.7,27.9,35.2
2019,59.1,42.4,46.5,39.6,27.9,38.0
2020,57.4,43.7,47.4,40.7,28.6,41.7
2021,58.8,44.2,48.5,41.5,28.3,45.9
2022,59.2,45.2,50.2,42.0,29.2,42.9
2023,61.6,44.5,52.0,43.1,30.6,41.5
2024,60.1,44.5,52.6,44.1,31.6,43.2
2025,60.0,42.8,52.5,44.8,31.1,42.5
