year,CY,GR,ES,EU,IT,PT
2000,77.7,78.6,79.3,,79.9,76.8
2001,79.0,79.1,79.8,,80.3,77.2
2002,78.7,79.2,79.8,77.6,80.4,77.4
2003,79.0,79.3,79.7,77.7,80.1,77.5
2004,79.1,79.4,80.4,78.3,80.9,78.4
2005,78.7,79.6,80.3,78.4,80.9,78.2
2006,80.1,79.9,81.1,78.9,81.4,79.0
2007,79.8,79.7,81.1,79.1,81.6,79.3
2008,80.6,80.2,81.5,79.3,81.7,79.5
2009,81.0,80.4,81.9,79.5,81.8,79.7
2010,81.5,80.6,82.4,79.8,82.2,80.1
2011,81.2,80.8,82.6,80.1,82.4,80.7
2012,81.1,80.7,82.5,80.2,82.4,80.6
2013,82.5,81.4,83.2,80.5,82.9,80.9
2014,82.3,81.5,83.3,80.8,83.2,81.3
2015,81.8,81.1,83.0,80.5,82.7,81.3
2016,82.7,81.5,83.5,80.9,83.4,81.3
2017,82.2,81.4,83.4,80.9,83.1,81.6
2018,82.9,81.9,83.5,81.0,83.4,81.5
2019,82.3,81.7,84.0,81.3,83.6,81.9
2020,82.4,81.4,82.3,80.4,82.3,81.5
2021,81.3,80.2,83.3,80.1,82.7,81.5
2022,81.6,80.8,83.2,80.6,82.8,81.8
2023,82.9,81.8,84.0,81.4,83.5,82.5
2024,83.5,81.9,84.0,81.5,83.7,82.5
