# Tertiary graduates in ICT field of education
# Source: Eurostat dataset educ_uoe_grad02
# URL: https://ec.europa.eu/eurostat/databrowser/view/educ_uoe_grad02/default/table
# Filters: iscedf13=F06 (ICT field), isced11=ED5-8 (tertiary), sex=T, unit=NR
# Notes: Eurostat coverage starts ~2013; RO 2013-2014 contains only ED6 (bachelor), ED7 reported as 0 — a known coverage gap (raw values retained).
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,BG,CZ,EU27_2020,HU,PL,RO
2005,955.0,,,1498.0,,
2010,1375.0,,,2292.0,,
2013,1862.0,4727.0,,2160.0,,1543.0
2014,1702.0,4440.0,120909.0,2218.0,16258.0,1455.0
2015,1957.0,3848.0,135515.0,1620.0,15744.0,7142.0
2016,1733.0,3648.0,130484.0,2944.0,15214.0,5992.0
2017,2127.0,3964.0,141442.0,2718.0,18259.0,6750.0
2018,2055.0,3758.0,145324.0,2985.0,17911.0,7349.0
2019,2084.0,3662.0,157663.0,3077.0,17270.0,7879.0
2020,2147.0,3630.0,166061.0,5587.0,15379.0,8703.0
2021,2335.0,3720.0,181959.0,4075.0,16564.0,9054.0
2022,2348.0,3660.0,193682.0,4044.0,17040.0,8508.0
2023,2206.0,3986.0,204222.0,4896.0,19359.0,9175.0
2024,2281.0,,,4738.0,20677.0,9077.0
