# Tertiary graduates in engineering, manufacturing & construction
# Source: Eurostat dataset educ_uoe_grad02
# URL: https://ec.europa.eu/eurostat/databrowser/view/educ_uoe_grad02/default/table
# Filters: iscedf13=F07 (engineering, manufacturing, construction), isced11=ED5-8, sex=T, unit=NR
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,BG,CZ,EU27_2020,HU,PL,RO
2005,7105.0,,,5886.0,,
2010,8755.0,,,7861.0,,
2013,9470.0,13449.0,,9021.0,,37014.0
2014,9078.0,13654.0,643599.0,10097.0,76618.0,34087.0
2015,8788.0,14220.0,610494.0,10647.0,77971.0,22929.0
2016,8065.0,13485.0,613220.0,9724.0,76172.0,22098.0
2017,7652.0,12573.0,627528.0,9164.0,81767.0,22106.0
2018,6760.0,11778.0,590184.0,9139.0,68370.0,21619.0
2019,6499.0,10962.0,642634.0,9235.0,62346.0,23263.0
2020,5539.0,10533.0,628628.0,17305.0,51403.0,22601.0
2021,5829.0,9429.0,639955.0,9128.0,49488.0,23272.0
2022,5680.0,8669.0,627621.0,8120.0,47567.0,21072.0
2023,5440.0,8305.0,616244.0,10080.0,44563.0,21568.0
2024,5643.0,,,8464.0,43131.0,21777.0
