year,RO,PL,CZ,HU,BG,EU27_2020
2005,,,,1.9627625424195174,2.074373343759503,
2010,,,,3.1668831348274242,2.2718635890487913,
2013,0.8961239589745972,,4.730216547252131,2.9336665399032977,2.8032458636315734,
2014,0.947790118229489,2.9148267472735125,4.241862598045304,3.060787966604568,2.6856863332965144,3.0473421920630335
2015,5.350694496471329,3.0471766584409927,3.9217684648233266,2.3654814922975835,3.1203163366178766,3.4282252107302957
2016,4.920024961408349,3.1199245344926583,4.020942408376963,4.322419615328146,2.8700130831525428,3.433804835442685
2017,5.567010309278351,3.5296391877132445,4.549471485464416,4.306834207482293,3.7413589910467713,3.544222090084212
2018,5.82002201613989,3.8109159304839233,4.93447832138449,4.5867330475268515,3.7720264317180616,3.752729511363237
2019,6.315376045014788,3.8154952853115582,5.036169100860907,4.906322251454995,4.0494326130887615,3.876653650478844
2020,6.680688718133737,3.73699378423168,5.176913532708681,3.1392578607870902,4.631647071513321,3.9166152308385715
2021,6.883391366490793,4.104043091956928,5.52199147950777,5.700895355344152,4.938245495304966,4.226930452488005
2022,6.774964166268514,4.258211551148518,5.483474665148473,6.799952918229053,4.813842873544366,4.54646392138323
2023,7.250843626765294,4.815683621103535,5.6270822745496645,6.192216727585465,4.898738674720199,4.676242849004311
2024,7.1417893419986305,5.109406081273089,,6.802389019697927,4.662142827944242,
