year,BG,CZ,EU27_2020,HU,PL,RO
1995,31.4,341.8,64065.9,168.6,219.2,170.2
1996,23.9,467.9,72306.1,205.9,371.1,194.0
1997,18.7,546.0,79266.3,264.7,404.0,250.9
1998,28.1,539.4,91896.4,336.8,636.8,305.2
1999,28.3,579.7,102949.8,419.3,742.3,263.3
2000,40.0,664.7,115567.5,492.2,1047.6,409.8
2001,58.6,764.8,131467.8,619.6,1322.9,452.4
2002,62.7,926.3,137827.7,769.1,1452.0,496.2
2003,79.7,988.0,138004.3,800.4,1416.5,436.4
2004,90.9,1062.6,144941.2,867.7,1580.6,446.6
2005,132.6,1490.6,152828.3,966.6,1744.2,590.5
2006,170.1,1813.8,164426.2,1092.8,1977.2,857.8
2007,237.4,2288.5,181938.1,1340.8,2365.4,1952.7
2008,396.8,2866.8,191615.7,1516.4,3065.4,2213.9
2009,446.5,2870.5,187562.7,1514.3,2954.1,1517.0
2010,564.8,3058.9,194177.2,1588.7,3273.3,2077.7
2011,658.9,3432.2,210041.9,1726.2,3684.4,2386.0
2012,756.1,3440.8,220822.0,1832.7,4694.7,2968.2
2013,889.7,3447.1,233758.4,1978.9,5160.5,3923.2
2014,901.6,3493.0,243225.4,2136.8,5928.8,3658.3
2015,899.7,3883.9,,2229.4,6996.5,4411.8
2016,1347.7,4235.3,,2452.4,7296.3,4903.7
2017,1552.7,4880.2,,2684.4,8169.8,6236.7
2018,1918.7,5851.4,,3009.5,9577.8,6632.9
2019,2590.0,7303.3,,3392.2,10756.2,8219.8
2020,3078.5,7586.0,,3489.7,12388.9,9725.1
2021,3528.2,9198.9,,4233.6,15085.9,10915.1
2022,3977.9,10872.2,,4520.4,19039.3,14520.1
2023,4881.3,12826.3,,5480.6,22309.3,16391.8
2024,5589.2,13462.4,,5971.4,,17826.9
