year,BG,CZ,EU27_2020,HU,PL,RO
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,,,,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,0.23410124506076194,0.8113599893654396,1.1217130212532787,0.5591316546118412,0.22735098760771166,0.627819562739536
1996,0.26509017502606536,0.9646229332453716,1.2108105982771904,0.6537026748154616,0.33280033862950115,0.702023564832238
1997,0.20340679182892074,1.0855712470748229,1.2934586788707505,0.7324497080716124,0.32441017973448155,0.8529342774874984
1998,0.23460459524445632,0.9821791120328777,1.4412006992622157,0.8976521917585509,0.4613332734450105,0.9130999323851295
1999,0.24917674819941185,1.0377599994271467,1.5477490453324023,1.059341303447091,0.5265151407681461,0.870902656038104
2000,0.31598571744557147,1.0818667287325379,1.6373347139172083,1.1253012158374371,0.6290546886071205,1.1179463396669076
2001,0.4183144639721314,1.1011049922614546,1.774212816360246,1.1933698252317981,0.6953891635144882,1.1046081497813491
2002,0.4031791349974922,1.1532576447050122,1.7951785490049788,1.2340885058559432,0.7788696734326053,1.12816828396555
2003,0.48583341461035795,1.2144022203402538,1.7504328825162039,1.2361981809167697,0.8317293746968725,0.9570343339356832
2004,0.5032052346630351,1.2117728764039561,1.7593574579697124,1.2097898587904612,0.8625064527007484,0.8242681067672669
2005,0.6485756769447488,1.492482019827002,1.7814070670695272,1.2326786083203893,0.8035625435366703,0.8404952160805736
2006,0.7352337317110069,1.6021651931422594,1.8153610897708912,1.3675162336240305,0.8184005178953713,0.9908401002622065
2007,0.8619844523276122,1.8194365272255602,1.8914468657148524,1.5228161194992698,0.8619326326805617,1.7165295634791566
2008,1.267116288575516,1.9525431486290723,1.921983492958905,1.6348021828986152,0.9557866812837736,1.6836202359912515
2009,1.3732461509125242,2.125987634387896,1.9608440264493103,1.8870887142299921,1.0466279278637716,1.3324385997888477
2010,1.689914965681082,2.1168447947029403,1.963891287937123,1.8803453197900812,1.0313585556632088,1.8097076351423147
2011,1.8199696717756924,2.279828677404441,2.0608020183510973,1.9895531746178103,1.1048819143209718,1.9463092722956825
2012,2.056872063700194,2.3343141052734415,2.156347887146824,2.1786500144434973,1.367648202673071,2.410194239796544
2013,2.453843904968365,2.395038585613371,2.259967932521629,2.2927180799050895,1.4920337166948758,3.114214318146458
2014,2.416173570019724,2.4271524214198115,2.299290947955284,2.3779132720456087,1.6370276164195352,2.7481302527952307
2015,2.274629175020289,2.5276427367448275,,2.3444047763014684,1.8222481747566344,3.1332961184286225
2016,3.21043767434437,2.625552659834308,,2.478215571609456,1.930858217427502,3.270040224488925
2017,3.439270636288326,2.7562766262071627,,2.487220611576083,1.982235628318567,3.6985860248754774
2018,3.956833048743267,3.037178103707533,,2.6072100902799016,2.1670025009966425,3.5833485500536457
2019,4.906511072802015,3.517196375553527,,2.7224063626076416,2.269452609178453,4.069058856259721
2020,5.734056027417672,3.775613300750046,,2.97155323411977,2.6402110651501687,4.882031747689155
2021,5.651331944072925,4.102620594674607,,3.224462532455218,2.9680165860618373,5.013365790924123
2022,5.197749414617829,4.1614419942708505,,3.1555932828110778,3.2253119045489407,5.6326483428412715
2023,5.891134755196818,4.37559657301849,,3.215550294677615,3.2835699633556223,5.5817092592737625
2024,6.1147974115059975,4.597473479595262,,3.3705493215325912,,5.563064068121471
2025,,,,,,
