year,BG,CZ,EU27_2020,HU,PL,RO
1995,9.23,28.68,1293.03,14.5,59.0,23.2
1996,9.54,30.92,1383.83,14.51,59.7,22.6
1997,9.02,33.93,1451.15,13.28,61.0,21.1
1998,8.67,33.77,1589.82,17.71,62.7,18.1
1999,8.8,33.9,1757.43,18.85,57.6,18.6
2000,9.08,36.56,1960.37,24.36,50.8,17.6
2001,9.43,38.8,2134.11,30.22,53.5,17.3
2002,10.01,41.62,2195.69,32.53,53.9,17.3
2003,11.03,41.75,2210.67,37.13,55.4,18.5
2004,12.21,42.71,2248.39,33.51,59.7,26.0
2005,12.66,48.81,2305.06,37.03,63.2,26.2
2006,13.75,55.12,2461.1,44.34,77.6,32.0
2007,14.95,63.21,2564.74,43.8,94.5,31.7
2008,13.53,70.93,2683.26,45.39,106.2,32.4
2009,14.89,78.26,2744.43,51.06,121.4,32.7
2010,31.73,78.17,2764.94,47.73,113.2,33.4
2011,33.14,76.63,2866.48,57.04,119.1,41.6
2012,34.81,79.41,2969.03,50.14,145.6,47.8
2013,35.79,81.88,3053.16,56.95,157.5,48.9
2014,38.58,86.31,3161.12,66.62,173.5,51.0
2015,45.4,90.0,3332.84,73.66,186.2,76.3
2016,50.97,95.76,3485.11,80.74,191.3,72.6
2017,55.13,101.29,3690.57,85.01,220.1,81.8
2018,62.28,105.85,3924.72,89.47,249.2,85.0
2019,68.61,111.13,4138.69,96.63,292.4,89.5
2020,76.89,116.44,4354.12,108.64,314.8,108.6
2021,87.42,118.59,4620.1,116.01,354.7,117.4
2022,95.48,129.18,4957.93,118.59,375.8,122.2
2023,101.96,137.98,5273.4,125.26,470.0,106.1
2024,111.45,138.82,,132.61,511.0,
