year,BG,CZ,EU27_2020,HU,PL,RO
2000,100.0,100.0,100.0,100.0,100.0,100.0
2001,103.85462555066078,106.1269146608315,108.86261267005719,124.05582922824301,105.31496062992127,98.29545454545455
2002,110.24229074889868,113.84026258205688,112.00385641486046,133.53858784893268,106.10236220472441,98.29545454545455
2003,121.47577092511013,114.19584245076587,112.76799787795161,152.42200328407228,109.05511811023622,105.11363636363636
2004,134.47136563876654,116.82166301969366,114.69212444589543,137.5615763546798,117.51968503937009,147.72727272727272
2005,139.4273127753304,133.50656455142231,117.5829052678831,152.01149425287358,124.40944881889766,148.86363636363635
2006,151.43171806167402,150.76586433260394,125.5426271571183,182.01970443349757,152.75590551181102,181.8181818181818
2007,164.647577092511,172.89387308533918,130.82938424889178,179.80295566502463,186.0236220472441,180.11363636363635
2008,149.00881057268722,194.0098468271335,136.8751817258987,186.33004926108373,209.05511811023624,184.09090909090907
2009,163.98678414096918,214.05908096280086,139.99551105148518,209.60591133004928,238.9763779527559,185.79545454545453
2010,349.44933920704847,213.81291028446387,141.04174212010997,195.935960591133,222.83464566929135,189.77272727272725
2011,364.9779735682819,209.6006564551422,146.2213765768707,234.1543513957307,234.44881889763778,236.36363636363632
2012,383.3700440528635,217.2045951859956,151.4525319199947,205.82922824302136,286.6141732283465,271.59090909090907
2013,394.16299559471366,223.96061269146608,155.7440687217209,233.78489326765194,310.0393700787402,277.84090909090907
2014,424.8898678414097,236.07768052516408,161.25119237694923,273.4811165845649,341.53543307086613,289.77272727272725
2015,500.0,246.17067833698027,170.01076327427987,302.38095238095235,366.53543307086613,433.52272727272725
2016,561.3436123348017,261.92560175054706,177.77817452827784,331.44499178981937,376.57480314960634,412.4999999999999
2017,607.1585903083701,277.05142231947485,188.25884909481377,348.9737274220033,433.26771653543307,464.77272727272725
2018,685.9030837004406,289.5240700218818,200.2030228987385,367.2824302134647,490.5511811023622,482.95454545454544
2019,755.6167400881058,303.9660831509846,211.11779919096904,396.6748768472906,575.5905511811023,508.52272727272725
2020,846.806167400881,318.4901531728665,222.10705121992277,445.9770114942529,619.6850393700788,617.0454545454545
2021,962.7753303964757,324.37089715536104,235.67489810596985,476.23152709359607,698.228346456693,667.0454545454545
2022,1051.5418502202645,353.33698030634577,252.90786943281117,486.82266009852214,739.7637795275591,694.3181818181818
2023,1122.907488986784,377.40700218818375,269.0002397506593,514.2036124794746,925.196850393701,602.840909090909
2024,1227.4229074889868,379.7045951859956,,544.3760262725781,1005.9055118110236,
