year,BG,CZ,EU27_2020,HU,PL,RO
1995,69.2,1245.9,71020.5,257.9,399.1,339.5
1996,63.7,1378.2,77456.6,318.0,617.9,406.2
1997,54.6,1392.2,85172.3,389.0,637.2,354.4
1998,67.8,1180.9,97580.4,521.0,954.0,345.0
1999,74.9,1232.8,107319.5,626.2,1136.2,354.1
2000,93.9,1285.4,116829.0,709.9,1418.5,441.4
2001,126.4,1292.5,129727.7,847.9,1568.8,459.8
2002,129.5,1338.8,133587.2,943.9,1774.3,498.9
2003,164.7,1433.7,134880.5,948.9,1959.8,469.0
2004,178.1,1459.6,142605.3,956.1,2175.8,467.1
2005,223.6,1952.0,149029.0,1032.9,2061.0,490.3
2006,301.9,2261.5,161819.5,1159.5,2232.8,615.7
2007,369.5,2726.9,180716.9,1245.3,2557.7,1656.1
2008,550.6,2987.3,190666.9,1343.4,2929.1,1797.9
2009,603.4,2972.2,189071.8,1465.2,3371.8,1349.6
2010,808.2,3084.9,193903.9,1517.3,3428.8,1992.1
2011,888.0,3385.8,210126.4,1676.2,3973.4,2185.2
2012,886.0,3408.6,221048.0,1796.1,4897.5,3052.8
2013,884.8,3435.0,234313.2,1904.5,5248.2,3877.9
2014,883.4,3520.4,244390.0,2115.9,5939.9,3822.7
2015,899.7,3883.9,,2229.4,6996.5,4411.8
2016,1175.9,4159.7,,2431.2,7922.7,4763.8
2017,1289.3,4618.5,,2631.8,8511.3,5862.4
2018,1455.3,5341.8,,3030.1,9735.5,6111.1
2019,1808.3,6407.3,,3406.7,10918.2,7525.3
2020,1992.3,6613.4,,3701.2,12810.3,8410.2
2021,2232.2,7561.7,,4503.0,16325.1,9467.4
2022,2041.8,8161.3,,4953.6,18546.5,11678.7
2023,2149.3,8574.1,,5268.2,19474.6,12118.4
2024,2134.1,9177.6,,5613.0,,12063.5
