year,BG,CZ,EU27_2020,HU,PL,RO
1995,3401.9501625135426,11917.712691771269,49547.11027586367,11627.586206896553,3715.2542372881358,7336.206896551725
1996,2505.2410901467506,15132.600258732211,52250.7099860532,14190.213645761543,6216.0804020100495,8584.070796460177
1997,2073.1707317073174,16091.954022988506,54623.092030458596,19932.22891566265,6622.950819672131,11890.995260663507
1998,3241.0611303344867,15972.756884809001,57803.02172572996,19017.50423489554,10156.299840510366,16861.878453038673
1999,3215.9090909090905,17100.294985250737,58579.7442856899,22244.031830238724,12887.152777777777,14155.913978494622
2000,4405.286343612334,18181.072210065646,58951.88153256784,20205.254515599343,20622.047244094487,23284.090909090908
2001,6214.209968186638,19711.340206185567,61603.10386999732,20502.978160158837,24727.10280373832,26150.289017341038
2002,6263.736263736264,22256.126862085537,62771.93046377221,23642.791269597295,26938.775510204083,28682.08092485549
2003,7225.747960108794,23664.670658682633,62426.45894683512,21556.692701319687,25568.592057761733,23589.18918918919
2004,7444.717444717444,24879.419339733082,64464.43899857232,25893.76305580424,26475.711892797317,17176.923076923078
2005,10473.9336492891,30538.824011473058,66301.22426314282,26103.15960032406,27598.101265822785,22538.1679389313
2006,12370.90909090909,32906.38606676343,66810.04428913901,24645.91790708164,25479.38144329897,26806.25
2007,15879.598662207358,36204.7144439171,70938.22375757387,30611.872146118723,25030.68783068783,61599.3690851735
2008,29327.420546932743,40417.312843648666,71411.52925918471,33408.23970037453,28864.406779661018,68330.24691358025
2009,29986.568166554734,36679.01865576284,68343.04391075743,29657.265961613786,24333.607907742997,46391.437308868495
2010,17800.189095493224,39131.38032493284,70228.35938573712,33285.145610727006,28916.0777385159,62206.5868263473
2011,19882.31744115872,44789.24703118883,73275.20164103709,30262.97335203366,30935.34844668346,57355.76923076923
2012,21720.769893708704,43329.555471603075,74375.13261907086,36551.65536497806,32243.818681318684,62096.23430962343
2013,24858.89913383627,42099.41377625794,76562.77430596497,34748.02458296751,32765.079365079364,80229.03885480572
2014,23369.62156557802,40470.397404703974,76942.7924280002,32074.452116481534,34171.757925072045,71731.37254901961
2015,19817.18061674009,43154.444444444445,,30266.087428726583,37575.18796992482,57821.756225425954
2016,26441.04375122621,44228.279030910606,,30374.040128808523,38140.61683220073,67544.07713498623
2017,28164.338835479775,48180.471912330926,,31577.461475120574,37118.582462517035,76243.27628361859
2018,30807.642903018626,55280.11336797355,,33636.973287135355,38434.18940609952,78034.11764705883
2019,37749.59918379245,65718.52785026545,,35105.039842698956,36785.9097127223,91841.34078212289
2020,40037.71621797373,65149.43318447269,,32121.686303387334,39354.828462515885,89549.72375690608
2021,40359.185541066116,77568.93498608652,,36493.4057408844,42531.43501550606,92973.59454855195
2022,41662.128194386256,84163.18315528719,,38117.885150518596,50663.384779137836,118822.42225859247
2023,47874.656728128684,92957.675025366,,43753.79211240619,47466.59574468085,154493.8737040528
2024,50149.84297891431,96977.38078086732,,45029.78659226302,,
