year,BG,CZ,EU27_2020,HU,PL,RO
1995,3.4019501625135424,11.91771269177127,49.54711027586367,11.62758620689655,3.715254237288135,7.336206896551724
1996,2.505241090146751,15.13260025873221,52.25070998605321,14.190213645761544,6.21608040201005,8.584070796460177
1997,2.073170731707317,16.091954022988507,54.6230920304586,19.93222891566265,6.622950819672131,11.890995260663507
1998,3.241061130334487,15.972756884809,57.803021725729955,19.01750423489554,10.156299840510366,16.86187845303867
1999,3.215909090909091,17.100294985250738,58.5797442856899,22.244031830238725,12.887152777777777,14.155913978494624
2000,4.405286343612334,18.181072210065647,58.95188153256783,20.205254515599343,20.62204724409449,23.284090909090907
2001,6.214209968186639,19.711340206185568,61.60310386999732,20.502978160158836,24.72710280373832,26.150289017341038
2002,6.263736263736265,22.256126862085537,62.771930463772215,23.642791269597296,26.93877551020408,28.68208092485549
2003,7.225747960108795,23.664670658682635,62.42645894683511,21.556692701319687,25.568592057761734,23.589189189189188
2004,7.444717444717445,24.87941933973308,64.46443899857232,25.89376305580424,26.475711892797317,17.176923076923078
2005,10.4739336492891,30.538824011473057,66.30122426314283,26.103159600324062,27.598101265822784,22.5381679389313
2006,12.370909090909091,32.906386066763424,66.81004428913901,24.64591790708164,25.479381443298973,26.80625
2007,15.879598662207359,36.2047144439171,70.93822375757388,30.61187214611872,25.03068783068783,61.59936908517351
2008,29.327420546932743,40.417312843648666,71.41152925918472,33.40823970037453,28.864406779661017,68.33024691358025
2009,29.986568166554733,36.67901865576284,68.34304391075743,29.657265961613785,24.333607907742998,46.3914373088685
2010,17.800189095493224,39.13138032493284,70.22835938573712,33.28514561072701,28.916077738515902,62.206586826347305
2011,19.88231744115872,44.78924703118883,73.27520164103709,30.26297335203366,30.935348446683463,57.355769230769226
2012,21.720769893708702,43.32955547160308,74.37513261907087,36.55165536497806,32.24381868131868,62.09623430962343
2013,24.858899133836267,42.09941377625794,76.56277430596496,34.74802458296752,32.765079365079366,80.22903885480572
2014,23.369621565578022,40.470397404703974,76.9427924280002,32.07445211648154,34.17175792507205,71.73137254901961
2015,19.81718061674009,43.154444444444444,,30.266087428726586,37.57518796992481,57.82175622542596
2016,26.441043751226214,44.228279030910606,,30.374040128808524,38.14061683220073,67.54407713498622
2017,28.164338835479775,48.18047191233093,,31.577461475120572,37.11858246251704,76.24327628361858
2018,30.807642903018625,55.28011336797355,,33.636973287135355,38.43418940609952,78.03411764705882
2019,37.74959918379245,65.71852785026546,,35.10503984269896,36.7859097127223,91.8413407821229
2020,40.03771621797373,65.14943318447268,,32.121686303387335,39.35482846251588,89.54972375690609
2021,40.35918554106612,77.56893498608652,,36.493405740884405,42.53143501550606,92.97359454855196
2022,41.662128194386256,84.1631831552872,,38.11788515051859,50.663384779137836,118.82242225859247
2023,47.874656728128684,92.957675025366,,43.753792112406195,47.46659574468085,154.4938737040528
2024,50.14984297891431,96.9773807808673,,45.02978659226302,,
